ID,SoftwarepakkettenBedrijfsfuncties,MateVanStandaardisatieSoftwarepakket,BedrijfstakkenBranchesSBI93,Perioden,AantalBedrijven250WerkzamePersonen_1,PercentageBedrijven250WerkzPers_2
601,  6,  3,       5,2007JJ00  ,10,14
602,  6,  3,       5,2008JJ00  ,20,32
603,  6,  3,       6,2006JJ00  ,188,44
604,  6,  3,       6,2007JJ00  ,151,36
605,  6,  3,       6,2008JJ00  ,174,40
606,  6,  3,       7,2006JJ00  ,477,57
607,  6,  3,       7,2007JJ00  ,423,51
608,  6,  3,       7,2008JJ00  ,393,48
609,  6,  4,       1,2006JJ00  ,49,2
610,  6,  4,       1,2007JJ00  ,34,1
611,  6,  4,       1,2008JJ00  ,45,2
612,  6,  4,       2,2006JJ00  ,8,2
613,  6,  4,       2,2007JJ00  ,9,2
614,  6,  4,       2,2008JJ00  ,5,1
615,  6,  4,       3,2006JJ00  ,13,4
616,  6,  4,       3,2007JJ00  ,2,1
617,  6,  4,       3,2008JJ00  ,7,2
618,  6,  4,       4,2006JJ00  ,0,0
619,  6,  4,       4,2007JJ00  ,0,0
620,  6,  4,       4,2008JJ00  ,2,1
621,  6,  4,       5,2006JJ00  ,0,0
622,  6,  4,       5,2007JJ00  ,0,0
623,  6,  4,       5,2008JJ00  ,0,0
624,  6,  4,       6,2006JJ00  ,12,3
625,  6,  4,       6,2007JJ00  ,5,1
626,  6,  4,       6,2008JJ00  ,6,1
627,  6,  4,       7,2006JJ00  ,16,2
628,  6,  4,       7,2007JJ00  ,18,2
629,  6,  4,       7,2008JJ00  ,25,3
