ID,Energiedragers,Perioden,TotaalAanbodTPES_1,Winning_2,Invoer_3,Uitvoer_4,NettoInvoer_5,Bunkering_6,Voorraadmutatie_7,StatistischeVerschillen_8,TotaalEnergieverbruik_9,TotaalInzet_10,InzetElektriciteitWKKOmzetting_11,InzetAndereOmzetting_12,TotaalProductie_13,ProductieElektriciteitWKKOmzetting_14,ProductieAndereOmzetting_15,TotaalSaldoEnergieomzetting_16,SaldoElektriciteitWKKOmzetting_17,SaldoAndereOmzetting_18,Totaal_19,ElektriciteitsEnWarmteproductie_20,WinningVanOlieEnGas_21,Cokesfabrieken_22,Hoogovens_23,OlieraffinageInstallaties_24,WaterstofproductieInstallaties_25,OverigeInstallaties_26,VerliezenBijDistributie_27,TotaalFinaalVerbruik_28,Totaal_29,Totaal_30,IJzerEnStaalindustrie_31,ChemieEnFarmaceutischeIndustrie_32,NonFerrometalen_33,Bouwmaterialenindustrie_34,Transportmiddelenindustrie_35,MetaalproductenEnMachineIndustrie_36,DelfstoffenwinningGeenOlieEnGas_37,VoedingsEnGenotmiddelenindustrie_38,PapierEnGrafischeIndustrie_39,Houtindustrie_40,Bouwnijverheid_41,TextielKledingEnLederindustrie_42,OverigeIndustrieEnOnbekend_43,Totaal_44,BinnenlandseLuchtvaart_45,Wegverkeer_46,Railverkeer_47,Pijpleidingen_48,BinnenlandseScheepvaart_49,Onbekend_50,Totaal_51,DienstenAfvalWaterEnReparatie_52,Woningen_53,Landbouw_54,Visserij_55,Onbekend_56,Totaal_57,NijverheidExclusiefDeEnergiesector_58,WaarvanChemieEnPetrochemie_59,Vervoer_60,OverigeAfnemers_61
19,T001027   ,1965JJ00,1311.2,492.0,1860.0,817.7,1042.3,214.7,-8.7,2.9,1308.3,1838.9,262.7,1576.2,1560.4,90.0,1470.4,278.5,172.7,105.8,66.0,4.9,14.7,23.5,,2.2,,20.8,6.3,957.5,885.0,305.0,51.9,70.8,2.1,24.1,,,,39.3,23.8,0.0,,,93.0,165.9,8.2,120.6,5.2,,31.8,,414.1,54.0,329.8,16.2,,14.1,72.5,69.4,18.7,,3.1
20,T001027   ,1966JJ00,1384.7,504.9,2025.5,890.3,1135.2,213.7,-41.7,-0.7,1385.4,1959.4,284.0,1675.4,1642.2,100.3,1541.9,317.2,183.7,133.5,60.7,5.4,15.5,19.1,,2.4,,18.3,6.4,1001.1,922.8,317.7,51.1,86.1,3.8,25.8,,,,42.6,25.1,,,,83.2,179.0,12.4,131.6,5.4,,29.6,,426.1,58.7,338.9,15.8,,12.7,78.5,75.1,23.7,,3.4
21,T001027   ,1967JJ00,1481.0,560.7,2047.2,904.1,1143.1,222.2,-0.3,5.0,1476.0,2009.0,295.6,1713.4,1668.2,108.2,1560.0,340.8,187.4,153.4,51.8,5.8,16.6,14.8,,2.6,,11.9,5.9,1077.5,963.4,337.1,43.5,95.0,5.0,26.9,,,,47.9,25.1,,,,94.1,193.9,11.9,140.6,5.1,,36.4,,432.4,67.2,339.9,18.2,,7.2,114.0,110.2,34.0,,3.8
22,T001027   ,1968JJ00,1643.2,743.0,2179.7,963.3,1216.4,281.7,-35.1,-4.7,1647.9,2210.8,331.0,1879.8,1813.8,121.0,1692.8,397.0,210.0,187.0,45.0,6.4,16.7,10.2,,2.9,,8.9,6.7,1199.2,1092.4,383.9,46.7,118.5,6.5,28.9,,,,51.4,24.3,,,,107.4,207.0,14.5,153.4,5.0,,34.1,,501.5,85.8,387.4,22.9,,5.6,106.9,102.8,50.3,,4.1
23,T001027   ,1969JJ00,1826.1,959.4,2631.3,1397.0,1234.3,350.1,-17.3,1.1,1825.0,2743.8,361.9,2381.9,2309.9,133.7,2176.2,433.9,228.2,205.7,43.5,6.8,12.6,12.9,,3.3,,7.8,7.2,1340.4,1228.3,415.3,62.0,149.8,8.5,31.2,,,0.0,51.8,25.1,,,,87.1,221.1,15.4,161.2,5.3,,39.0,,591.9,100.3,448.5,39.2,,3.8,112.0,107.5,56.1,,4.5
24,T001027   ,1970JJ00,2061.5,1230.2,3154.3,1878.3,1276.0,385.1,-59.7,-0.5,2062.0,3218.7,399.9,2818.8,2876.0,147.1,2728.9,342.7,252.8,89.9,189.2,7.1,19.3,13.8,,143.6,,5.3,7.9,1522.2,1349.3,458.1,66.1,168.3,9.4,36.6,,,,56.8,26.3,,,,94.6,234.3,7.7,177.4,6.3,,42.9,,656.9,136.4,484.0,35.2,,1.3,172.8,168.0,110.0,,4.8
25,T001027   ,1971JJ00,2133.4,1586.7,3070.3,2075.9,994.4,408.8,-38.5,-4.6,2138.0,3187.1,427.6,2759.5,2847.6,161.7,2685.9,339.5,265.9,73.6,194.5,7.8,22.8,15.1,,145.0,,3.9,9.1,1594.9,1404.0,472.0,65.8,181.9,14.1,39.7,1.9,9.8,0.0,60.0,27.4,1.6,0.7,8.6,60.5,243.7,5.2,192.4,6.0,,40.2,,688.3,194.2,460.9,30.6,,2.6,191.1,185.9,126.8,,5.2
26,T001027   ,1972JJ00,2445.5,2025.6,3356.3,2438.6,917.7,500.8,3.2,-17.7,2463.2,3609.3,482.2,3127.1,3239.5,178.4,3061.1,369.8,303.8,66.0,199.9,8.4,17.9,15.8,,155.1,,2.8,10.8,1882.7,1621.3,540.5,70.6,224.1,15.4,44.1,2.4,10.2,0.0,63.2,28.9,1.5,0.8,10.4,68.5,260.3,3.7,205.3,5.9,,45.4,,820.5,247.8,534.8,36.2,,1.6,261.7,256.4,198.6,,5.2
27,T001027   ,1973JJ00,2597.0,2402.6,3628.1,2892.7,735.4,527.0,-13.8,-26.6,2623.6,3814.7,508.0,3306.7,3428.3,189.5,3238.8,386.4,318.5,67.9,206.1,8.6,11.4,24.3,,159.8,,1.9,11.2,2019.9,1699.5,570.7,70.2,241.5,16.5,46.4,2.3,9.8,0.2,67.9,35.2,1.6,0.8,10.2,67.9,273.9,4.4,214.4,5.5,,49.6,,854.9,240.1,560.6,50.5,,3.7,320.3,314.7,248.0,,5.5
28,T001027   ,1974JJ00,2559.1,2820.1,3354.1,3109.7,244.4,428.7,-77.2,-5.6,2564.7,3463.6,535.0,2928.6,3063.7,197.1,2866.6,399.9,337.9,62.0,193.9,5.5,13.7,24.5,,148.6,,1.6,11.1,1959.8,1623.2,575.0,72.9,261.4,21.3,46.7,3.0,9.1,0.2,67.5,34.8,1.6,0.9,10.2,45.1,254.9,4.8,205.7,5.2,,39.2,,793.3,239.1,498.9,52.8,,2.7,336.4,331.9,247.7,,4.5
29,T001027   ,1975JJ00,2475.4,3007.1,2887.9,2989.3,-101.4,474.7,44.6,-28.5,2503.9,3112.7,511.0,2601.7,2738.5,195.3,2543.2,374.2,315.7,58.5,173.7,8.4,14.4,24.3,,126.5,,0.1,8.8,1947.2,1565.7,428.3,57.9,143.5,21.0,42.4,3.0,9.3,0.2,67.5,28.6,2.2,0.8,9.6,42.3,274.2,4.6,223.9,5.1,,40.7,,863.2,281.5,535.8,44.3,,1.6,381.2,377.0,288.5,,4.1
30,T001027   ,1976JJ00,2744.0,3222.0,3286.9,3271.7,15.2,489.9,-3.4,-31.0,2775.0,3480.7,536.3,2944.4,3088.1,209.3,2878.8,392.6,327.0,65.6,179.4,9.0,15.1,8.6,,146.5,,0.2,9.3,2193.7,1724.4,453.1,75.7,147.6,20.8,41.0,3.6,10.3,0.3,64.8,22.9,2.2,1.3,9.4,53.0,315.7,13.5,247.2,5.1,,49.9,,955.6,340.9,573.1,40.5,,1.1,469.5,464.9,340.3,,4.5
31,T001027   ,1977JJ00,2655.6,3211.5,3061.3,3136.8,-75.5,481.9,1.3,-55.1,2710.7,3298.9,553.1,2745.8,2894.9,209.8,2685.1,404.0,343.3,60.7,174.3,9.4,14.1,8.1,,142.6,,0.1,9.1,2123.3,1699.5,491.6,75.4,171.9,20.7,42.4,5.3,14.4,0.0,73.8,27.7,2.9,1.7,12.3,43.0,325.9,8.1,258.1,5.1,,54.6,,882.0,273.5,560.9,46.2,,1.3,423.9,419.5,328.3,,4.4
32,T001027   ,1978JJ00,2700.5,2959.6,3128.7,2896.3,232.4,504.7,13.2,-33.0,2733.5,3262.7,557.4,2705.3,2892.4,221.7,2670.7,370.3,335.7,34.6,161.5,9.8,13.6,7.9,,130.2,,0.0,9.6,2192.1,1775.8,534.6,60.3,211.5,21.7,48.0,6.3,16.1,0.0,79.6,30.7,3.8,1.5,13.6,41.7,316.2,4.6,276.6,5.0,,29.9,,925.0,270.2,587.6,66.1,,1.0,416.2,411.8,361.6,,4.3
33,T001027   ,1979JJ00,2846.0,3113.7,3581.6,3319.1,262.5,453.0,-77.2,-25.0,2871.0,3538.7,593.6,2945.1,3132.0,232.1,2899.9,406.7,361.5,45.2,174.3,10.0,12.0,8.7,,143.5,,0.0,10.1,2279.9,1862.7,592.9,62.9,266.2,22.2,46.3,6.7,16.7,0.0,79.8,31.2,3.6,1.5,13.4,42.0,307.9,1.7,273.5,5.1,,27.5,,961.9,271.3,616.5,72.7,,1.4,417.5,411.8,356.1,,5.6
34,T001027   ,1980JJ00,2720.1,3038.6,3683.8,3539.7,144.1,435.3,-26.7,-0.5,2720.6,3216.5,590.2,2626.3,2779.3,233.3,2546.0,437.2,356.9,80.3,162.6,10.2,12.1,8.5,,131.8,,,9.9,2110.9,1745.2,519.9,54.4,217.8,21.9,44.2,4.9,15.4,0.5,77.2,29.7,2.8,1.8,12.1,37.1,314.1,2.1,282.1,5.5,,24.4,,911.2,203.7,613.3,89.0,,5.1,365.8,356.3,314.3,3.6,5.9
35,T001027   ,1981JJ00,2567.7,2826.3,3395.1,3327.2,67.9,417.7,91.4,-11.3,2579.0,2949.4,576.9,2372.5,2517.9,230.6,2287.3,431.5,346.3,85.2,153.2,10.3,14.5,7.7,,120.7,,,10.0,1984.3,1704.7,543.4,48.5,258.8,22.2,38.1,4.7,14.6,0.5,76.3,27.9,2.6,1.6,11.8,35.7,320.2,1.6,290.9,5.5,,22.1,,841.1,209.0,566.3,61.4,,4.3,279.8,270.1,234.5,3.4,6.3
36,T001027   ,1982JJ00,2292.1,2440.2,3496.2,3234.3,261.9,411.2,1.0,-109.5,2401.6,3004.4,556.3,2448.1,2610.0,223.6,2386.4,394.4,332.7,61.7,159.9,10.2,13.5,8.7,,127.6,,,10.1,1837.2,1604.1,520.6,49.7,239.8,21.0,30.2,6.3,25.9,0.8,75.7,31.0,2.0,16.0,9.2,13.3,307.8,2.9,287.6,6.5,,10.7,,775.7,163.1,525.0,84.7,,3.0,233.0,225.0,196.5,2.8,5.0
37,T001027   ,1983JJ00,2381.0,2622.5,3612.6,3521.0,91.6,387.8,54.8,-28.9,2409.9,3240.7,547.2,2693.5,2855.9,222.2,2633.7,384.8,325.0,59.8,105.7,9.9,15.4,7.6,,72.8,,,10.1,1909.3,1621.2,512.3,46.1,265.2,20.1,29.6,5.8,26.1,1.1,65.3,24.7,2.0,8.8,8.1,9.2,314.8,2.1,295.0,6.0,,11.6,,794.1,188.6,516.1,86.8,,2.7,288.2,280.4,245.7,3.4,4.4
38,T001027   ,1984JJ00,2512.9,2670.9,3733.0,3538.7,194.3,365.4,13.2,-8.6,2521.5,3428.1,570.1,2858.0,3014.4,234.8,2779.6,413.7,335.3,78.4,117.8,9.0,15.4,9.4,,83.8,,,10.7,1979.3,1652.7,518.7,47.8,252.1,21.1,31.3,6.0,26.6,1.8,63.6,23.1,1.6,13.6,6.4,23.4,320.6,4.7,299.9,5.9,,10.1,,813.4,231.9,473.1,99.7,,8.5,326.4,318.6,276.8,2.6,5.2
39,T001027   ,1985JJ00,2544.8,2809.6,3689.1,3569.3,119.8,420.9,35.8,-16.1,2560.9,3149.1,566.5,2582.6,2752.1,238.3,2513.8,397.0,328.2,68.8,124.8,8.6,15.6,10.4,,90.1,,,11.2,2027.9,1717.2,501.3,45.4,253.5,21.3,33.7,6.6,26.0,1.2,64.1,23.3,2.3,5.3,7.1,11.1,319.5,2.8,281.3,5.7,,29.7,,896.4,265.0,517.2,106.3,,7.8,311.1,303.2,262.9,2.3,5.4
40,T001027   ,1986JJ00,2637.0,2639.0,4105.0,3565.5,539.5,465.0,-76.3,-12.5,2649.5,3690.7,604.5,3086.2,3262.0,257.6,3004.4,428.7,346.9,81.8,151.9,9.2,19.0,10.4,,113.2,,,12.4,2056.5,1694.4,479.2,41.8,235.2,21.6,30.1,6.1,26.6,1.6,62.6,25.9,2.4,10.4,6.0,8.0,329.7,3.0,290.6,4.8,,31.3,,885.5,273.1,485.7,120.2,,6.7,362.1,355.5,315.2,2.2,4.5
41,T001027   ,1987JJ00,2706.7,2626.6,3958.9,3481.7,477.2,458.7,60.8,-17.6,2724.3,3695.7,613.3,3082.4,3257.4,259.0,2998.4,438.3,354.3,84.0,163.5,8.3,19.5,9.6,,126.1,,,11.9,2110.6,1738.9,522.6,41.4,268.8,23.4,36.2,6.1,26.4,2.5,64.2,27.3,2.7,9.5,6.4,7.3,329.4,6.0,295.3,5.0,,23.2,,886.9,284.4,471.1,124.9,,6.5,371.7,363.4,324.9,3.2,5.1
42,T001027   ,1988JJ00,2672.5,2341.5,4149.6,3293.4,856.2,508.2,-16.8,-15.9,2688.4,3779.9,614.0,3165.9,3343.6,262.1,3081.5,436.3,351.9,84.4,200.4,8.9,20.9,10.0,,160.6,,,11.7,2040.0,1630.6,466.8,44.4,216.5,23.1,34.7,5.4,25.0,1.6,61.4,26.9,1.9,10.3,6.8,8.1,342.8,6.3,308.2,4.8,,23.6,,821.0,271.7,417.6,125.7,,6.0,409.6,401.7,361.3,2.9,5.0
43,T001027   ,1989JJ00,2684.2,2511.4,4285.1,3600.3,684.8,498.1,-13.6,-19.9,2704.1,3826.0,644.0,3182.0,3378.3,274.9,3103.4,447.7,369.1,78.6,219.8,8.6,27.0,10.2,,174.0,,,12.4,2024.2,1640.5,472.2,54.5,210.3,22.9,36.2,5.4,25.9,1.3,64.1,27.0,2.0,10.8,5.8,5.4,358.4,6.4,325.6,4.9,,21.5,,809.9,267.6,409.4,128.6,,4.3,383.7,373.9,328.5,4.1,5.6
44,T001027   ,1990JJ00,2828.9,2542.0,5868.2,5071.4,796.9,520.2,10.2,-36.4,2865.3,3315.5,746.9,2568.6,2876.4,400.4,2476.0,439.1,346.5,92.6,199.4,9.0,24.4,10.0,12.5,141.9,,1.6,14.8,2212.0,1796.9,590.3,36.4,291.6,23.8,38.7,5.8,29.6,1.4,79.3,33.1,2.9,32.6,6.4,8.7,374.4,1.2,357.5,5.8,,9.8,,832.2,217.0,436.4,157.6,15.9,5.2,415.2,410.8,372.0,2.5,
45,T001027   ,1991JJ00,2942.6,2831.7,6154.4,5504.7,649.6,530.6,-8.2,-29.8,2972.4,3469.6,770.0,2699.6,3035.8,419.6,2616.2,433.8,350.4,83.4,211.4,9.4,27.5,10.9,14.0,149.3,,0.4,16.7,2310.4,1900.6,585.9,32.8,284.2,22.7,39.8,5.9,28.9,1.5,80.1,34.9,3.1,33.5,7.4,11.0,380.9,1.2,363.1,6.1,,10.5,,933.8,243.5,492.8,176.6,15.5,5.3,409.9,405.5,368.4,2.3,
46,T001027   ,1992JJ00,2915.8,2838.9,6047.3,5388.6,658.7,546.0,-35.7,-38.5,2954.3,3547.1,803.0,2744.1,3094.6,437.8,2656.8,452.5,365.2,87.4,204.6,9.7,30.4,10.9,14.6,138.7,,0.4,17.1,2280.1,1869.4,580.0,32.0,274.5,22.1,41.5,5.8,27.2,1.3,85.7,34.2,3.2,32.5,6.9,13.1,400.9,1.2,383.3,6.3,,10.1,,888.5,232.8,462.0,173.6,15.0,5.1,410.7,406.3,369.5,2.5,
47,T001027   ,1993JJ00,2976.6,2892.0,6158.8,5548.0,610.8,534.5,8.2,-40.2,3016.7,3581.9,806.4,2775.4,3116.6,436.1,2680.5,465.3,370.3,95.0,212.1,10.7,27.8,10.8,15.3,145.9,,1.6,18.1,2321.3,1926.3,582.0,32.1,272.5,21.9,38.8,5.9,28.4,1.3,89.6,35.9,2.9,32.2,8.3,12.3,412.6,1.1,394.8,6.4,,10.1,,931.8,246.2,483.7,181.7,15.1,5.1,395.0,390.5,353.2,1.8,
48,T001027   ,1994JJ00,2991.1,2802.5,6103.4,5324.1,779.2,551.1,-39.5,-33.5,3024.6,3655.3,830.3,2825.1,3180.6,458.8,2721.8,474.7,371.5,103.2,212.1,11.4,25.0,10.8,14.6,149.9,,0.4,19.0,2318.8,1889.5,595.1,32.3,285.1,21.9,38.0,5.9,30.1,1.7,89.4,35.2,2.9,33.0,8.2,11.4,404.3,1.2,386.3,6.5,,10.2,,890.1,236.4,460.0,173.5,15.6,4.7,429.3,424.6,386.9,2.6,
49,T001027   ,1995JJ00,3084.6,2814.8,6001.4,5250.4,751.0,557.8,76.6,-21.1,3105.7,3866.4,842.9,3023.5,3398.9,472.8,2926.1,467.5,370.0,97.5,210.6,12.2,24.7,10.8,15.1,146.2,,1.6,19.6,2408.1,1961.6,614.2,37.3,301.7,22.2,33.6,5.6,27.9,2.0,88.5,36.1,3.9,33.0,9.0,13.3,409.3,1.2,391.2,6.6,,10.4,,938.0,245.3,494.4,175.8,17.7,4.9,446.5,441.3,404.0,2.9,
50,T001027   ,1996JJ00,3253.1,3146.2,6387.5,5692.2,695.3,583.6,-4.8,-29.9,3283.0,3994.9,880.7,3114.2,3517.8,505.3,3012.5,477.1,375.4,101.7,214.3,12.8,29.9,10.5,14.9,144.6,,1.5,21.0,2570.7,2125.6,638.4,36.1,309.4,22.5,35.6,5.7,29.4,2.0,97.5,39.0,3.9,35.3,8.2,13.9,427.1,1.2,408.1,7.0,,10.9,,1060.1,278.2,565.6,194.3,17.1,4.9,445.1,440.0,404.7,2.7,
51,T001027   ,1997JJ00,3148.3,2799.6,6655.8,5651.7,1004.1,627.7,-27.6,-22.1,3170.4,3963.5,871.5,3092.0,3483.4,506.4,2977.1,480.1,365.2,114.9,204.8,12.6,31.2,10.4,13.5,135.6,,1.5,20.3,2465.3,1998.7,626.2,37.7,295.6,23.3,36.2,5.9,29.0,4.3,92.9,40.5,3.9,33.8,9.3,13.8,426.5,1.1,407.9,7.1,,10.4,,945.9,262.9,489.0,172.3,17.7,3.9,466.6,461.2,426.6,2.8,
52,T001027   ,1998JJ00,3167.0,2688.5,6679.7,5522.8,1156.9,634.6,-43.7,-12.9,3179.9,4078.9,910.1,3168.8,3577.6,532.3,3045.3,501.3,377.8,123.5,205.4,12.4,37.0,10.4,12.8,130.8,,1.9,21.6,2451.7,1996.6,627.5,35.0,295.5,25.2,34.7,5.7,29.5,6.8,94.2,39.9,4.2,33.6,9.9,13.4,436.5,1.0,417.8,7.3,,10.4,,932.7,268.2,470.9,172.1,17.7,3.7,455.1,449.5,417.2,2.9,
53,T001027   ,1999JJ00,3107.7,2515.4,6573.2,5451.5,1121.7,660.3,130.9,-26.9,3134.6,3887.5,870.4,3017.1,3415.4,515.5,2899.9,472.1,354.9,117.2,190.1,12.7,32.9,8.6,11.0,123.0,,1.9,21.5,2450.8,1993.2,646.7,33.2,307.4,25.6,35.4,5.4,32.3,7.1,98.6,39.9,4.2,35.2,8.1,14.3,443.6,0.8,424.6,7.2,,11.0,,902.9,258.1,453.2,169.0,18.2,4.4,457.7,452.2,417.3,3.1,
54,T001027   ,2000JJ00,3146.5,2456.7,7172.8,5686.7,1486.0,689.2,-107.0,-10.4,3156.9,3929.0,893.3,3035.7,3440.4,525.9,2914.5,488.6,367.4,121.1,188.0,13.0,32.9,7.8,11.1,121.0,,2.3,22.2,2458.1,1987.7,631.7,33.9,296.8,27.0,36.2,5.6,29.9,6.2,94.4,40.5,4.6,34.1,8.3,14.2,443.3,0.8,424.0,7.4,,11.1,,912.7,265.8,454.3,170.7,17.6,4.2,470.4,465.7,432.3,2.8,
55,T001027   ,2001JJ00,3231.2,2573.8,7341.8,5961.5,1380.2,737.1,14.3,0.1,3231.1,3976.1,939.2,3036.9,3444.7,538.6,2906.1,531.4,400.6,130.8,189.6,13.7,32.4,8.4,11.6,120.9,,2.6,22.9,2487.2,2020.8,626.6,34.0,298.6,25.6,35.5,5.7,29.6,5.1,92.5,38.3,3.5,34.9,7.8,15.5,446.6,0.7,427.2,7.2,,11.5,,947.6,280.7,478.5,167.0,17.4,3.9,466.4,461.0,425.3,3.0,
56,T001027   ,2002JJ00,3264.5,2574.8,7589.8,6201.0,1388.8,737.8,38.7,16.2,3248.3,3874.8,953.6,2921.3,3347.8,546.4,2801.4,527.1,407.1,119.9,185.8,13.9,34.8,7.8,11.7,114.1,,3.5,23.3,2512.1,2018.6,642.5,35.2,316.5,25.6,31.3,5.9,29.6,5.7,93.6,39.7,3.5,32.9,7.5,15.5,456.8,0.7,437.1,7.1,,12.0,,919.3,277.4,467.2,156.2,14.5,4.0,493.5,487.9,452.3,3.2,
57,T001027   ,2003JJ00,3374.4,2477.4,7681.5,6117.8,1563.8,699.0,32.2,7.2,3367.2,4000.3,959.2,3041.1,3455.5,548.7,2906.8,544.8,410.5,134.3,187.9,13.9,32.5,8.0,12.2,118.3,,3.0,23.7,2610.7,2050.6,645.2,34.4,326.7,25.9,31.3,5.7,27.4,7.2,91.3,38.6,3.3,32.2,7.0,14.4,463.7,0.7,444.5,7.1,,11.4,,941.7,290.0,478.6,156.0,13.2,3.9,560.1,554.6,522.2,3.2,
