ID,RegioS,InwonersVan15Tot65Jaar_1,InwonersTot18Jaar_2,TotaalParticuliereHuishoudens_3,TotaalMetThuiswonendeKinderen_4,MetThuiswondenKinderen0Tot18Jaar_5,Eenouderhuishoudens2OfMeerKinderen_6,Gemiddelde20172019_7,k_31122019_8,k_31122018_9,k_31122017_10,Gemiddelde20172019_11,k_31122019_12,k_31122018_13,k_31122017_14,HuishoudensMetInkomen_15,GemiddeldGestandaardiseerdInkomen_16,TotaalHuishoudensMetKinderen_17,GemiddeldGestandaardiseerdInkomen_18,TotaalMinderjarigeKinderen_19,InHuishoudensTot120SociaalMinimum_20,InHuishoudensMetLaagInkomen_21,TotaalBeroepsbevolking_22,LagerOpgeleiden_23,LagerOpgeleidenPercentage_24,InwonersDoelpopulatie31122018_25,PersonenMetBijstand31122019_26,WajongUitkeringen31122019_27,PersonenMetLoonkostensubs31122019_28,PsychischMedicijngebruikOuders2019_29
12,GM1959,35090,11970,22360,8880,6150,470,130,120,120,140,170,160,170,180,21400,26100,8500,27300,11900,700,700,29,7,23,4880,590,510,50,600
13,GM0060,2280,700,1730,510,350,30,0,0,0,0,0,0,0,0,1600,22400,500,23500,800,100,100,1,0,17,270,10,30,10,40
14,GM0307,105110,34700,69230,25520,19190,2120,900,880,890,920,1010,960,1020,1050,67500,26100,24500,27800,35100,3700,3400,86,10,12,14720,3910,1950,120,1810
15,GM0362,57980,18960,43490,14690,11010,1260,290,290,290,280,330,320,330,340,41800,28000,13200,32500,16700,1500,1300,47,4,9,10060,1240,670,30,550
16,GM0363,636680,147580,475370,114700,84400,15510,9820,9320,9830,10320,10010,9330,10090,10600,443500,23700,106300,25600,138200,34000,30500,489,45,9,128520,44580,8430,780,6000
17,GM0200,103850,31470,73520,24330,17490,2000,880,850,870,910,960,900,950,1020,72600,24600,23200,25800,30700,3500,3200,82,13,16,18010,4090,3150,130,1480
18,GM0003,7060,2080,5530,1680,1200,200,120,110,120,120,130,110,130,150,5800,21700,1700,22400,2200,400,400,5,1,22,1620,480,320,30,90
19,GM0202,111350,30340,81400,22900,17380,2420,1720,1670,1700,1800,1860,1750,1850,1970,77300,21800,21500,23900,28400,5500,4800,83,11,13,24060,8670,4020,160,1690
20,GM0106,43700,13700,31370,10180,7580,960,450,420,460,480,520,490,520,550,31400,23000,10100,23700,14200,1900,1800,34,4,13,8150,2370,1620,100,790
21,GM0743,10470,3120,7160,2530,1660,150,40,30,40,40,60,50,60,60,7100,25200,2500,27700,3300,300,300,9,2,22,1410,230,180,10,90
22,GM0744,4070,1160,3080,990,660,80,10,10,10,20,20,20,20,30,3000,24400,900,27800,1000,100,100,4,1,26,620,100,60,10,60
23,GM0308,15010,4780,11100,3630,2660,280,80,70,80,80,90,90,90,90,11800,27800,3400,31200,4600,400,400,13,2,15,2600,430,770,10,230
24,GM0489,31340,10980,19270,8630,6140,680,140,140,140,150,190,180,190,190,18900,29000,8400,29800,11200,800,800,26,3,13,3990,650,400,30,420
25,GM0203,36680,15150,22390,9330,6990,480,130,130,130,140,170,160,170,190,20800,25300,8500,26200,13900,900,1000,29,6,22,4950,650,680,70,620
26,GM0888,9830,2430,7320,2330,1450,170,50,50,50,60,60,60,60,80,7400,25300,2400,27100,2700,300,300,8,1,15,1500,300,170,10,120
27,GM1954,21980,5740,16180,5320,3390,340,110,100,110,110,140,120,140,150,16300,25200,5400,26700,5900,600,500,19,4,20,3360,520,450,30,280
28,GM0370,6270,2090,4040,1660,1150,90,20,20,20,20,20,20,30,30,3800,28500,1400,32100,1700,100,100,5,1,14,790,80,210,10,70
29,GM0889,8410,2360,5900,2080,1380,150,50,60,50,60,50,60,50,60,5800,23800,2100,24900,2500,200,200,8,2,21,1280,240,180,20,100
30,GM1945,21680,5880,15790,5130,3430,350,160,150,160,170,190,190,190,190,15800,24200,5000,26200,6100,500,500,18,4,20,3720,890,720,30,280
31,GM1724,11800,3380,7860,2830,1850,190,30,30,30,30,40,40,30,40,7600,26400,2800,27800,3600,300,300,9,2,19,1490,160,170,30,140
32,GM0893,8250,2160,5650,1980,1200,120,40,40,40,50,50,50,50,60,5600,23800,2000,25000,2400,200,200,8,2,20,1240,200,180,20,100
33,GM0373,16590,4640,13840,4100,2600,350,60,60,50,60,80,70,80,90,14300,29100,4000,30800,4900,400,400,14,2,11,2900,340,450,10,160
34,GM0748,42810,12350,30450,10060,7050,860,430,420,430,440,510,510,510,530,30600,24400,9700,25700,12100,1900,1700,33,6,19,8150,2180,1000,50,660
35,GM1859,26610,7900,18830,6460,4350,410,140,120,140,160,150,130,150,180,19000,24100,6500,25400,8600,700,600,23,5,22,3680,640,630,90,280
36,GM1721,19820,6120,12650,5000,3340,310,70,70,60,70,90,80,90,100,11900,26300,4700,28100,6400,500,400,17,3,20,2350,340,330,50,230
37,GM0753,19640,5810,12840,4930,3360,370,110,110,110,110,120,130,120,130,12000,27400,4700,28700,6000,400,400,15,2,14,2730,500,240,40,290
38,GM0209,16930,4840,11210,4180,2830,290,100,100,100,100,110,110,110,120,10700,26000,4200,27400,5000,500,400,14,2,15,2230,440,260,30,240
39,GM0375,27390,8050,19070,6690,4710,640,250,240,250,260,290,280,280,300,18700,23800,6300,24700,7900,1100,1000,22,5,22,4270,1000,620,20,420
40,GM0310,25510,8980,19260,6560,4840,480,150,120,140,170,180,160,180,210,19500,30900,6100,34000,8600,800,700,20,2,10,3510,660,400,20,390
41,GM1728,12920,3830,8650,3070,2060,190,30,30,30,40,40,40,40,50,8400,25600,3000,27200,3900,300,300,12,2,20,1570,160,220,20,170
42,GM0376,6540,2570,4940,1870,1410,140,20,20,20,30,30,30,30,40,4200,38600,1300,42500,1800,200,200,5,1,16,1030,120,50,10,100
43,GM0377,13120,5210,9770,3640,2710,230,30,30,30,30,40,40,40,50,9900,40200,3300,46100,4800,300,300,11,1,6,2110,220,190,10,140
44,GM1901,21690,7500,14360,5500,3940,350,70,70,60,60,110,110,110,110,13500,29000,5200,29400,7300,600,600,18,3,17,2660,370,310,30,300
45,GM0755,7020,2180,4170,1720,1140,110,20,20,20,20,20,20,20,30,4100,24400,1600,26400,2200,200,200,7,2,23,780,110,150,20,60
46,GM1681,15670,4410,11230,3630,2450,200,100,100,100,100,130,120,130,140,11100,23700,3600,24600,4700,500,500,13,2,18,2750,590,420,30,170
47,GM0147,14130,4940,9740,3710,2720,240,60,60,60,70,90,80,90,110,9300,25800,3500,26800,4600,400,300,13,2,13,1920,370,360,40,180
48,GM0654,14220,4730,9510,3420,2420,220,50,50,50,50,60,70,60,70,9500,25400,3400,26400,5000,400,400,13,3,19,1900,250,270,20,200
49,GM0756,18520,5150,12520,4290,2790,290,60,60,60,70,80,80,80,90,12100,25700,4300,27300,5400,400,400,17,3,18,2540,340,350,70,220
50,GM0757,19240,5930,13610,4590,3250,350,110,110,120,110,130,130,130,130,13500,25000,4500,26300,5900,700,600,16,3,17,3030,510,370,100,320
51,GM0758,121510,34580,88350,26660,19430,2430,1060,990,1070,1140,1230,1120,1230,1350,87400,24700,25500,27900,33900,4300,4000,100,14,14,19530,5030,2150,150,1650
52,GM0501,10970,2980,7800,2630,1790,200,50,50,50,60,60,60,60,60,7500,27800,2500,28900,2900,300,300,8,1,15,1600,250,180,10,120
53,GM1876,21870,6260,15480,5270,3440,280,70,60,60,80,100,80,100,120,15700,25500,5400,26400,7000,500,500,19,3,17,2960,360,420,40,220
54,GM0213,12650,3500,9040,3040,2010,200,70,60,80,80,90,80,90,90,9300,25400,3100,26200,3900,300,300,10,2,21,1940,360,330,30,190
55,GM0899,17330,4360,13580,4010,2660,350,210,210,210,220,220,200,220,230,13900,21800,4200,22600,4600,900,800,15,3,21,3720,890,610,40,260
56,GM0312,9060,3330,6430,2400,1770,130,20,20,20,20,30,30,30,30,6300,30000,2200,31800,3100,100,100,10,1,8,970,140,120,10,130
57,GM0313,14000,5100,8370,3690,2670,190,40,30,40,40,50,50,50,50,7900,25800,3500,27400,4900,300,300,11,3,24,1620,210,210,20,240
58,GM0214,17100,5170,11050,4230,2870,280,50,50,50,50,70,70,70,80,10600,27200,4100,28100,5400,400,400,14,3,21,2310,260,210,10,210
59,GM0502,42640,13000,31340,10780,7390,1450,710,640,720,780,700,610,720,770,30900,25000,10600,25500,12400,2300,2100,34,6,18,7870,2070,790,60,540
60,GM0383,21800,6570,15780,5470,3670,390,60,60,70,70,90,90,90,100,15400,28900,5100,30600,6500,400,400,19,2,13,2690,400,390,20,240
61,GM0109,21540,6490,15500,5180,3570,390,180,160,180,200,230,210,230,260,15600,23700,5200,24200,6800,900,900,18,4,21,3920,890,480,40,290
62,GM1706,13090,3730,8900,3070,1990,200,60,50,60,70,90,80,90,100,8800,25500,3100,26900,3700,400,300,11,2,20,1900,310,180,10,160
63,GM1684,16040,4580,11020,3840,2580,300,110,110,110,120,120,110,120,140,10700,24200,3800,25200,4900,500,400,14,2,17,2310,440,350,50,240
64,GM0216,18890,6000,12610,4660,3340,330,110,100,110,120,150,150,150,170,11900,25400,4500,26600,6000,600,600,16,3,16,2710,650,320,30,310
65,GM0148,17720,6030,11610,4490,3150,220,40,40,40,50,80,70,80,80,11200,25200,4300,26300,6100,400,400,16,2,15,2000,340,310,30,220
66,GM1891,11590,3830,7780,2950,2000,170,100,90,100,100,100,90,100,120,8000,21700,3000,22800,4000,500,500,9,2,22,2430,530,380,60,210
67,GM0503,74360,15310,58850,12340,8780,1360,840,810,830,880,830,780,820,890,53200,20700,11700,26000,14400,2600,2300,55,6,11,13690,3390,1260,90,820
68,GM0010,14990,4250,11590,3490,2360,350,270,260,270,280,280,270,280,290,11900,22100,3600,22500,4300,800,800,12,3,22,3600,1040,480,40,210
69,GM0762,20520,6110,13760,4890,3210,340,90,80,90,100,110,100,110,110,13600,24300,4800,25800,6000,600,500,18,4,21,2910,440,530,70,200
70,GM0150,66210,19940,46650,15280,11330,1320,710,670,710,750,760,720,740,810,44900,23300,14900,24600,20100,2700,2400,52,9,16,11540,3180,1990,150,1190
71,GM0384,21500,5430,15640,4570,3210,480,130,120,120,140,140,140,140,150,13200,23300,3800,27100,4500,700,600,16,1,9,3080,520,250,10,170
72,GM1774,16660,5090,10360,4230,2680,220,40,30,40,40,60,60,60,60,10200,25600,4100,27800,5500,300,300,13,2,15,1770,240,300,40,130
73,GM0221,6780,1770,5220,1640,1070,150,70,60,70,80,70,60,70,90,5200,23100,1700,23200,2100,400,300,5,1,21,1330,320,230,10,130
74,GM0222,36970,11100,25890,8730,6240,720,280,270,270,300,330,320,320,350,25700,23700,8500,24700,11000,1200,1100,28,5,17,6270,1450,1480,110,600
75,GM0766,16670,4930,11160,4150,2830,280,70,60,70,70,80,80,80,80,11000,25200,3900,26700,5000,400,400,14,3,19,2210,380,270,30,270
76,GM0505,77710,22760,55010,18440,12830,1870,1080,1050,1080,1120,1100,1040,1110,1150,55600,23600,18000,24600,22500,3600,3200,62,9,14,15180,4370,1600,330,1370
77,GM0498,12320,3940,8200,3080,2130,230,50,50,50,40,60,70,70,60,8100,26100,2900,27600,4000,300,300,12,3,23,1540,200,270,20,140
78,GM1719,17240,4770,11630,4160,2730,270,40,40,50,30,50,50,60,50,11500,26200,4000,27900,5000,300,300,14,2,17,2350,200,380,30,210
79,GM0303,27140,8660,17530,6370,4570,530,150,140,150,170,190,170,190,200,17000,24200,6100,25300,8700,1000,1000,21,3,14,4100,750,590,40,420
80,GM0225,12320,3640,7880,3030,2080,210,70,70,70,90,80,80,80,90,7800,24300,2900,26500,3800,400,400,10,2,17,1870,320,450,20,190
81,GM0226,16630,4700,10660,4180,2770,270,100,100,100,100,120,110,120,120,10600,25400,4400,26100,5500,500,400,14,2,11,2300,520,320,30,240
82,GM1711,19570,4860,14200,4590,2860,300,90,90,100,100,120,120,120,120,14700,24300,4600,26200,5000,600,500,17,3,15,3470,560,610,30,250
83,GM0385,22830,7190,14850,5990,4030,340,60,60,60,70,100,100,100,100,14600,27700,5800,30300,7500,400,400,19,5,23,2670,360,280,20,230
84,GM0228,74610,25500,49440,17500,12850,1090,380,360,390,390,520,470,530,550,47700,24500,16200,26100,24300,2400,2300,61,10,17,11330,2050,1890,120,1230
85,GM0317,5870,1870,3960,1520,1070,120,20,20,20,20,20,20,30,30,3700,28700,1500,29000,1900,200,200,5,1,12,690,100,100,10,80
86,GM0770,12100,3530,8120,2830,1870,160,20,20,20,20,50,50,50,50,7900,27400,2700,29300,3400,300,300,9,2,22,1740,170,420,20,140
87,GM1903,15650,4450,11080,3910,2550,190,30,40,30,30,60,60,60,60,10700,26900,3800,28800,4400,300,300,13,2,13,2090,280,220,10,170
88,GM0772,162210,39850,120980,31900,23250,3120,1690,1650,1660,1760,1780,1680,1760,1890,112900,23000,29600,25300,38200,6300,5600,124,16,13,28270,7620,2930,470,1930
89,GM0230,14370,5190,9130,3680,2620,200,60,60,70,60,80,70,80,90,9200,24000,3600,24400,5300,400,400,12,3,22,2150,270,350,20,310
90,GM0114,66960,19290,48630,16050,10900,1430,890,830,900,950,930,880,930,990,48800,22000,16100,22800,20200,3300,3000,51,12,23,13910,4020,2070,190,990
91,GM0388,11620,3510,8620,2750,1970,270,110,100,110,110,120,110,120,120,8500,23700,2700,24500,3500,400,400,11,2,18,1840,380,400,20,170
92,GM0153,107740,28670,79460,22510,16310,2320,1560,1450,1560,1690,1770,1620,1760,1940,77000,20400,22200,22600,28900,5900,5200,80,13,16,23270,7480,3820,280,1370
93,GM0232,19890,6040,14210,4880,3290,290,100,100,110,110,130,130,130,140,14100,25600,4700,26100,6000,600,500,16,3,21,3280,530,480,40,280
94,GM0233,16580,5180,11290,3820,2580,240,60,70,60,60,90,90,90,80,11800,25400,3600,27500,4900,400,400,12,2,17,2950,440,810,50,250
95,GM0777,27580,8880,18880,7030,5050,580,180,180,180,180,220,220,220,230,18400,25400,6700,26700,8600,900,800,23,4,18,4160,840,480,30,440
96,GM1940,31400,10200,22230,7650,5410,500,190,170,180,220,240,210,230,270,22100,24300,7600,25200,10800,1000,900,27,4,15,4500,940,580,40,420
97,GM0779,13650,4120,9390,3440,2380,260,70,70,70,80,80,70,70,90,9500,25000,3400,26200,4300,400,300,13,2,20,1890,350,210,40,240
98,GM1771,24920,7500,17750,6160,4280,510,200,200,210,190,220,210,230,230,17300,25600,6000,26600,7600,900,900,20,3,16,3820,810,400,70,390
99,GM1652,19720,6020,13060,4850,3280,330,80,80,80,80,110,110,110,120,12500,24600,4600,26200,5900,500,500,19,3,19,2670,470,390,50,240
100,GM0907,10470,3060,7230,2480,1660,180,50,50,60,60,60,50,70,70,7900,23400,2500,24900,3300,300,300,9,1,14,1840,290,590,10,140
101,GM0784,16680,5100,11200,4080,2830,350,130,130,130,130,150,140,150,150,11100,25000,4000,26300,5100,600,500,14,2,18,2410,510,240,20,230
102,GM1924,31100,9860,21140,7350,5240,430,120,120,110,120,170,170,160,170,20900,25600,7100,27100,9900,700,700,25,5,21,4750,590,680,40,580
103,GM0664,23590,6840,17780,5360,3810,450,140,140,140,150,160,150,160,160,17800,24600,5100,26500,6700,700,600,19,3,16,3830,860,700,40,350
104,GM0785,14370,4800,10190,3720,2640,250,70,70,70,80,80,70,80,80,10000,26600,3500,27400,4600,400,400,12,2,13,1850,320,220,50,210
105,GM1942,34870,13290,25910,9300,7130,750,150,130,140,170,200,190,190,210,25800,32200,8600,37600,12900,1000,1000,28,3,10,5030,990,450,20,520
106,GM0512,24280,7300,16670,5770,4080,480,220,220,210,230,260,240,260,270,16100,24500,5400,26100,7200,1000,900,18,3,17,3990,950,540,50,420
107,GM0513,47320,14640,33480,10920,7950,920,420,400,420,460,510,470,510,550,32400,24700,10700,25900,14800,1900,1800,38,6,15,7860,1910,1030,60,660
108,GM0786,7830,2220,5320,1820,1230,130,40,40,40,40,50,50,50,50,5400,24600,1800,25700,2400,200,200,6,1,18,1240,160,180,20,120
109,GM0518,373450,110210,268310,83010,61700,9700,6310,5960,6310,6670,6700,6250,6730,7120,251300,23400,75300,24700,98700,22500,20800,269,38,14,86760,27640,6270,1080,5140
110,GM0014,170010,34450,136380,25810,19810,2800,2150,2090,2140,2220,2260,2160,2240,2360,128100,19400,24900,24700,33400,6100,5200,125,9,7,31900,11860,4350,280,1630
111,GM1729,8560,1940,6550,1940,1160,110,30,30,30,20,40,40,40,40,6700,25100,2000,27200,2100,200,200,7,2,22,1360,190,170,20,80
112,GM0158,14830,4550,10220,3730,2530,230,70,70,60,70,100,90,90,100,10200,24400,3700,26400,4900,400,400,13,2,14,2010,390,310,30,130
113,GM0788,9070,2510,5910,2130,1370,120,20,20,20,20,20,20,30,20,5800,27800,2000,30200,2600,200,200,8,1,17,1260,120,340,20,90
114,GM0392,107560,32490,78170,24890,18620,2200,800,780,780,840,950,920,930,980,77000,25300,22800,28000,30200,3800,3500,89,11,12,16090,4110,1900,70,1550
115,GM0394,103020,32940,65730,27250,19080,2280,570,530,560,610,690,640,680,740,63100,27500,25600,29000,32900,2700,2400,85,12,14,12850,2270,1360,20,1320
116,GM1655,18720,5420,13100,4530,3050,340,120,120,120,120,140,140,130,140,12900,25400,4400,26700,5300,600,500,15,3,19,2990,500,300,20,230
117,GM0160,38940,13150,24360,9610,6720,570,170,160,160,180,230,210,220,240,23900,23200,9300,24200,13400,1100,1100,32,7,21,5660,1010,1210,90,550
118,GM0243,30900,10430,20530,7720,5670,590,210,200,210,210,260,250,260,260,19600,24600,7200,25000,10100,1100,1000,24,4,15,4840,1010,720,60,590
119,GM0523,11320,4290,7110,2910,2070,130,40,40,40,30,60,60,60,60,7000,25500,2800,27000,4200,200,200,10,2,18,1530,180,190,20,180
120,GM0072,9390,3000,7480,2230,1610,210,120,120,120,130,130,120,120,140,7500,21700,2200,22200,2900,500,400,9,2,18,1920,590,190,20,180
121,GM0244,7400,2630,5080,1880,1370,120,20,20,20,30,30,30,30,40,5000,26200,1800,26900,2500,200,200,6,1,16,940,140,120,10,120
122,GM0396,24710,7110,17340,6160,4080,560,240,230,240,240,270,250,280,270,17700,25500,6000,26800,7300,900,800,22,4,17,3720,880,540,10,300
123,GM0397,15060,5830,12020,4180,3090,290,50,50,50,50,60,60,60,60,12300,34100,3900,39000,5600,300,300,14,1,10,2280,290,370,10,190
124,GM0246,11240,3660,7670,2780,1940,160,40,40,40,40,60,50,60,60,7800,25300,2700,26000,3700,300,300,10,2,20,1730,200,190,30,170
125,GM0074,31460,9960,22900,7610,5520,650,290,280,290,310,310,290,320,340,22900,23600,7400,24900,10200,1100,1000,26,5,21,5260,1490,870,80,450
126,GM0398,36930,12710,23770,9560,7010,810,230,220,220,250,260,240,260,290,22700,24500,8700,24900,12000,1200,1100,29,5,16,5610,870,1180,110,610
127,GM0917,55870,13530,45250,11960,8120,1430,1010,950,1000,1070,1050,970,1040,1160,45800,21300,12100,22000,13200,3500,3000,40,9,23,13790,4470,2150,100,930
128,GM1658,9910,2860,6790,2390,1540,140,20,20,20,30,30,20,30,30,6700,28300,2300,30100,2900,200,200,8,1,15,1300,130,250,20,110
129,GM0399,14060,4560,10770,3570,2530,250,40,40,40,40,60,50,60,60,10300,28700,3300,30800,4400,300,200,11,1,11,1870,290,310,20,160
130,GM0400,35370,9840,27070,8050,5660,880,470,440,460,500,450,410,440,490,27600,22600,8200,23100,9800,1800,1600,28,6,20,7200,1750,1590,40,450
131,GM0163,22140,7230,14720,5630,3920,340,90,90,90,100,120,110,130,130,14800,23800,5400,25000,7400,600,600,19,3,17,2900,510,510,40,330
132,GM0530,25390,7560,18040,6380,4420,600,230,210,230,250,250,230,250,270,18000,26300,6300,26600,7500,900,800,20,3,17,4480,880,490,20,420
133,GM0794,61230,18750,41080,15080,10700,1320,620,610,610,640,730,680,730,780,39500,23400,14500,24300,19200,3000,2800,46,10,21,10960,2930,1140,240,980
134,GM0531,19540,7680,12200,5420,4100,340,110,110,110,110,130,120,130,150,11700,27100,4900,27600,7000,500,400,15,3,17,2340,400,210,30,370
135,GM0164,52670,15190,38020,12150,8640,1010,470,440,440,530,570,530,540,620,37400,23200,12200,24200,16200,2300,2100,42,6,13,9090,2660,1680,150,680
136,GM0796,103210,28660,73410,22750,16240,1990,820,770,820,880,870,760,860,980,71300,25300,22300,27400,28800,3700,3400,85,11,13,16050,3840,2290,480,1580
137,GM0252,10120,3030,7150,2540,1710,170,50,60,50,50,60,60,60,60,7100,27900,2600,29400,3400,300,200,9,1,12,1390,280,230,10,130
138,GM0797,28500,8530,19100,7000,4810,480,120,110,120,120,140,130,140,160,18300,25900,6900,27600,8600,800,700,23,5,19,3900,590,460,60,390
139,GM0534,14110,4230,9900,3450,2460,290,50,60,50,50,70,70,70,80,9600,25700,3200,27600,4100,400,300,10,1,12,1750,300,240,10,220
140,GM0798,9710,2890,6540,2340,1550,120,20,20,20,20,40,40,40,40,6300,27200,2300,28900,3000,200,200,9,1,13,1000,140,150,10,100
141,GM0402,58340,18660,42700,14050,10640,1180,450,460,440,450,510,510,500,520,42300,26600,12700,30000,17000,2000,1900,45,5,12,9530,2380,980,70,810
142,GM1963,54170,16970,37140,13500,9390,840,170,160,160,180,240,230,230,250,36300,27500,13100,28600,16900,1100,1100,47,8,18,7330,1000,890,70,860
143,GM1735,21120,6430,14940,5250,3500,280,80,80,80,90,120,110,130,130,14800,25700,5100,26900,6900,500,500,19,3,15,2650,510,400,50,250
144,GM1966,29230,9240,21430,6990,4990,570,250,240,240,280,280,270,270,300,21800,22800,7200,23700,9800,1200,1100,24,4,17,5280,1210,990,60,470
145,GM1911,30920,9220,21040,7400,5070,510,150,140,140,160,180,170,180,200,20300,24800,7300,26100,9800,900,900,26,5,20,4090,570,570,40,360
146,GM0118,34420,11260,24350,8410,6020,720,320,320,330,330,350,330,360,370,24300,22200,8300,22500,11400,1500,1400,28,7,24,6320,1450,1130,80,510
147,GM0405,46950,14680,33160,11930,8470,1250,420,400,420,440,460,410,450,500,32700,24500,11500,25100,14900,2100,1800,39,6,15,7430,1710,1480,80,770
148,GM1507,27170,7610,18090,6380,4140,340,70,70,80,70,120,110,120,120,17500,25300,6500,27000,8200,600,600,24,4,16,3070,400,450,50,260
149,GM0321,33030,11790,20270,8730,6420,620,150,140,150,160,200,190,200,210,19600,29200,8500,30400,11900,700,600,29,4,12,3770,640,520,30,540
150,GM0406,25250,7890,18470,6350,4460,530,170,160,170,190,210,200,210,230,18600,27800,6400,29100,8100,800,700,22,3,14,3980,870,460,40,340
151,GM0677,17010,4530,12670,3870,2630,250,50,50,50,50,70,80,80,70,12700,24800,3800,27000,4300,400,300,14,3,18,3490,350,500,20,170
152,GM0353,22370,7280,14370,5880,4160,540,140,140,140,150,180,170,180,190,14300,27400,5800,28400,7800,800,700,19,2,13,2710,600,340,20,380
153,GM1884,17440,5180,11670,4300,2920,310,50,50,50,60,80,70,80,90,10800,27800,4100,29200,5200,400,400,16,3,18,2020,280,220,20,230
154,GM0166,34610,12730,22220,8600,6490,540,190,180,190,190,230,210,230,240,21200,22800,8000,23800,12300,1100,1100,27,5,18,5060,1010,1030,90,540
155,GM0678,7790,2760,5270,1960,1470,140,30,30,20,30,30,40,30,30,5200,26200,2000,26700,2800,200,200,8,1,15,940,100,100,10,120
156,GM0537,41800,14650,26620,10670,7600,670,240,240,240,250,280,270,280,280,25800,25200,10300,26800,14200,1100,1000,34,7,22,5950,980,750,50,710
157,GM0928,28350,6850,22970,6330,4230,610,390,380,390,410,410,390,410,430,23400,21100,6500,22000,6500,1600,1400,22,5,21,7230,1820,1140,40,400
158,GM1598,14460,4550,9320,3620,2440,230,30,30,30,40,60,50,60,70,9300,26000,3500,27800,4900,400,300,12,2,14,1560,210,250,10,120
159,GM0542,17280,6290,12420,4670,3290,440,170,160,170,180,170,160,170,180,12300,26400,4400,27300,5900,500,500,16,3,17,2840,560,290,30,280
160,GM1931,35030,11540,23730,8570,6040,570,150,150,140,150,210,200,220,220,23000,26600,8200,28000,11300,900,900,29,5,18,4890,780,600,10,530
161,GM1659,14100,4230,9490,3510,2350,220,50,50,60,50,80,70,80,80,9200,25300,3400,26600,4400,400,400,11,2,21,1840,240,250,30,170
162,GM1685,9870,3000,6400,2440,1570,150,30,30,30,30,50,50,50,50,6100,25300,2400,27900,3100,200,200,7,2,21,1260,170,190,20,140
163,GM0882,23280,5810,17700,5410,3530,460,260,250,270,260,280,260,290,280,18000,22800,5500,24100,5800,1000,900,18,4,23,4850,1180,910,30,340
164,GM0415,7040,2370,4860,2010,1370,170,20,30,20,20,40,40,40,40,4700,29700,1800,31500,2100,200,100,6,0,8,910,150,60,0,80
165,GM0416,17650,5760,11730,4590,3190,360,90,80,90,90,110,100,110,120,11300,26400,4400,27100,5900,600,500,16,2,13,2340,340,340,40,270
166,GM1621,39570,15860,23840,11580,8830,900,160,160,150,160,230,230,230,240,22500,30000,10500,31000,14900,1000,900,33,4,12,4340,760,360,30,640
