ID,HealthAndLifestyle,PersonalCharacteristics,Periods,NotHappy_1,Happy_2,NotSatisfiedWithLife_3,SatisfiedWithLife_4
0,  999,10001,2003JJ00,13.0,87.0,13.0,87.0
1,  999,10001,2004JJ00,13.0,87.0,13.0,87.0
2,  999,10001,2005JJ00,13.0,87.0,14.0,86.0
3,  999,10001,2006JJ00,12.0,88.0,13.0,87.0
4,  999,10001,2007JJ00,12.0,88.0,13.0,87.0
5,  999,10001,2008JJ00,12.0,88.0,12.0,88.0
6,  999,10001,2009JJ00,11.0,89.0,13.0,87.0
7,  999,10001,2010XX00,13.0,87.0,14.0,86.0
8,  999,10001,2010JJ00,16.0,84.0,15.0,85.0
9,  999,10001,2012JJ00,17.0,83.0,17.0,83.0
10,  999,15400,2003JJ00,12.0,88.0,13.0,87.0
11,  999,15400,2004JJ00,11.0,89.0,13.0,87.0
12,  999,15400,2005JJ00,13.0,87.0,14.0,86.0
13,  999,15400,2006JJ00,10.0,90.0,13.0,87.0
14,  999,15400,2007JJ00,11.0,89.0,12.0,88.0
15,  999,15400,2008JJ00,12.0,88.0,11.0,89.0
16,  999,15400,2009JJ00,10.0,90.0,12.0,88.0
17,  999,15400,2010XX00,11.0,89.0,13.0,87.0
18,  999,15400,2010JJ00,15.0,85.0,15.0,85.0
19,  999,15400,2012JJ00,18.0,82.0,17.0,83.0
20,  999,15450,2003JJ00,14.0,86.0,14.0,86.0
21,  999,15450,2004JJ00,14.0,86.0,14.0,86.0
22,  999,15450,2005JJ00,14.0,86.0,14.0,86.0
23,  999,15450,2006JJ00,13.0,87.0,14.0,86.0
24,  999,15450,2007JJ00,13.0,87.0,13.0,87.0
25,  999,15450,2008JJ00,12.0,88.0,12.0,88.0
26,  999,15450,2009JJ00,13.0,87.0,13.0,87.0
27,  999,15450,2010XX00,14.0,86.0,15.0,85.0
28,  999,15450,2010JJ00,18.0,82.0,16.0,84.0
29,  999,15450,2012JJ00,16.0,84.0,17.0,83.0
30,  999,53110,2003JJ00,9.0,91.0,11.0,89.0
31,  999,53110,2004JJ00,10.0,90.0,12.0,88.0
32,  999,53110,2005JJ00,11.0,89.0,13.0,87.0
33,  999,53110,2006JJ00,8.0,92.0,12.0,88.0
34,  999,53110,2007JJ00,10.0,90.0,10.0,90.0
35,  999,53110,2008JJ00,7.0,93.0,9.0,91.0
36,  999,53110,2009JJ00,9.0,91.0,11.0,89.0
37,  999,53110,2010XX00,8.0,92.0,11.0,89.0
38,  999,53110,2010JJ00,13.0,87.0,14.0,86.0
39,  999,53110,2012JJ00,12.0,88.0,15.0,85.0
40,  999,53705,2003JJ00,12.0,88.0,14.0,86.0
41,  999,53705,2004JJ00,12.0,88.0,14.0,86.0
42,  999,53705,2005JJ00,12.0,88.0,14.0,86.0
43,  999,53705,2006JJ00,12.0,88.0,14.0,86.0
44,  999,53705,2007JJ00,11.0,89.0,13.0,87.0
45,  999,53705,2008JJ00,13.0,87.0,14.0,86.0
