ID,GegevensdefinitiePerSoortGegeven,MateVanStandaardisatieVanDefinities,BedrijfstakkenBranchesSBI93,Perioden,AantalBedrijven250WerkzamePersonen_1,PercentageBedrijven250WerkzPers_2
0,  1,  0,       1,2006JJ00  ,2282,100
1,  1,  0,       1,2007JJ00  ,2273,100
2,  1,  0,       1,2008JJ00  ,2256,100
3,  1,  0,       2,2006JJ00  ,495,100
4,  1,  0,       2,2007JJ00  ,496,100
5,  1,  0,       2,2008JJ00  ,492,100
6,  1,  0,       3,2006JJ00  ,293,100
7,  1,  0,       3,2007JJ00  ,298,100
8,  1,  0,       3,2008JJ00  ,299,100
9,  1,  0,       4,2006JJ00  ,152,100
10,  1,  0,       4,2007JJ00  ,153,100
11,  1,  0,       4,2008JJ00  ,146,100
12,  1,  0,       5,2006JJ00  ,74,100
13,  1,  0,       5,2007JJ00  ,73,100
14,  1,  0,       5,2008JJ00  ,63,100
15,  1,  0,       6,2006JJ00  ,430,100
16,  1,  0,       6,2007JJ00  ,423,100
17,  1,  0,       6,2008JJ00  ,430,100
18,  1,  0,       7,2006JJ00  ,838,100
19,  1,  0,       7,2007JJ00  ,830,100
20,  1,  0,       7,2008JJ00  ,827,100
21,  1,  1,       1,2006JJ00  ,1201,53
22,  1,  1,       1,2007JJ00  ,1184,52
23,  1,  1,       1,2008JJ00  ,1147,51
24,  1,  1,       2,2006JJ00  ,276,56
25,  1,  1,       2,2007JJ00  ,287,58
26,  1,  1,       2,2008JJ00  ,280,57
27,  1,  1,       3,2006JJ00  ,164,56
28,  1,  1,       3,2007JJ00  ,141,47
29,  1,  1,       3,2008JJ00  ,156,52
30,  1,  1,       4,2006JJ00  ,59,39
31,  1,  1,       4,2007JJ00  ,69,45
32,  1,  1,       4,2008JJ00  ,67,46
33,  1,  1,       5,2006JJ00  ,37,50
34,  1,  1,       5,2007JJ00  ,41,56
35,  1,  1,       5,2008JJ00  ,36,57
36,  1,  1,       6,2006JJ00  ,225,52
37,  1,  1,       6,2007JJ00  ,237,56
38,  1,  1,       6,2008JJ00  ,197,46
39,  1,  1,       7,2006JJ00  ,439,52
40,  1,  1,       7,2007JJ00  ,409,49
41,  1,  1,       7,2008JJ00  ,411,50
42,  1,  2,       1,2006JJ00  ,724,32
43,  1,  2,       1,2007JJ00  ,733,32
44,  1,  2,       1,2008JJ00  ,774,34
45,  1,  2,       2,2006JJ00  ,166,34
46,  1,  2,       2,2007JJ00  ,160,32
47,  1,  2,       2,2008JJ00  ,162,33
48,  1,  2,       3,2006JJ00  ,66,23
49,  1,  2,       3,2007JJ00  ,78,26
50,  1,  2,       3,2008JJ00  ,93,31
51,  1,  2,       4,2006JJ00  ,62,41
52,  1,  2,       4,2007JJ00  ,56,37
53,  1,  2,       4,2008JJ00  ,41,28
54,  1,  2,       5,2006JJ00  ,19,26
55,  1,  2,       5,2007JJ00  ,29,40
56,  1,  2,       5,2008JJ00  ,25,40
57,  1,  2,       6,2006JJ00  ,152,35
