ID,Perioden,NederlandHICP_1,EurozoneMUICP_2,EuropeseUnieEICP_3,JaarmutatieHICP_4,JaarmutatieMUICP_5,JaarmutatieEICP_6
83,2002MM06,94.99,93.99,94.24,3.8,1.9,1.7
84,2002MM07,94.91,93.91,94.11,3.8,2.0,1.9
85,2002MM08,95.07,93.91,94.16,3.7,2.1,1.9
86,2002MM09,96.04,94.16,94.43,3.6,2.1,1.9
87,2002MM10,95.96,94.42,94.67,3.5,2.3,2.1
88,2002MM11,95.48,94.33,94.6,3.2,2.3,2.2
89,2002MM12,95.31,94.75,95.0,3.2,2.3,2.2
90,2002JJ00,95.05,93.86,94.11,3.9,2.2,2.1
91,2003MM01,95.88,94.67,94.84,2.7,2.1,2.0
92,2003MM02,96.6,95.09,95.26,2.9,2.4,2.3
93,2003MM03,97.49,95.69,95.81,2.8,2.5,2.3
94,2003MM04,97.57,95.77,95.92,2.2,2.1,2.0
95,2003MM05,97.49,95.69,95.85,2.3,1.8,1.7
96,2003MM06,97.0,95.77,95.9,2.1,1.9,1.8
97,2003MM07,96.92,95.69,95.8,2.1,1.9,1.8
98,2003MM08,97.16,95.85,96.0,2.2,2.1,2.0
99,2003MM09,97.97,96.19,96.34,2.0,2.2,2.0
100,2003MM10,97.81,96.28,96.43,1.9,2.0,1.9
101,2003MM11,97.41,96.36,96.48,2.0,2.2,2.0
102,2003MM12,96.84,96.62,96.75,1.6,2.0,1.8
103,2003JJ00,97.18,95.81,95.95,2.2,2.1,2.0
104,2004MM01,97.33,96.45,96.51,1.5,1.9,1.8
105,2004MM02,97.89,96.62,96.69,1.3,1.6,1.5
106,2004MM03,98.69,97.29,97.28,1.2,1.7,1.5
107,2004MM04,99.01,97.72,97.69,1.5,2.0,1.8
108,2004MM05,99.18,98.05,98.08,1.7,2.5,2.3
109,2004MM06,98.45,98.05,98.09,1.5,2.4,2.3
110,2004MM07,98.13,97.88,97.92,1.2,2.3,2.2
111,2004MM08,98.29,98.05,98.06,1.2,2.3,2.1
112,2004MM09,99.1,98.22,98.23,1.2,2.1,2.0
113,2004MM10,99.26,98.56,98.57,1.5,2.4,2.2
114,2004MM11,98.85,98.48,98.53,1.5,2.2,2.1
115,2004MM12,98.05,98.9,98.92,1.2,2.4,2.2
116,2004JJ00,98.52,97.86,97.88,1.4,2.1,2.0
117,2005MM01,98.53,98.31,98.42,1.2,1.9,2.0
118,2005MM02,99.34,98.65,98.73,1.5,2.1,2.1
119,2005MM03,100.14,99.32,99.32,1.5,2.1,2.1
120,2005MM04,100.3,99.75,99.73,1.3,2.1,2.1
121,2005MM05,100.22,100.0,100.0,1.0,2.0,2.0
122,2005MM06,99.9,100.08,100.08,1.5,2.1,2.0
123,2005MM07,99.58,100.0,100.02,1.5,2.2,2.1
124,2005MM08,99.9,100.25,100.26,1.6,2.2,2.2
125,2005MM09,100.78,100.76,100.71,1.7,2.6,2.5
126,2005MM10,100.78,101.02,100.95,1.5,2.5,2.4
127,2005MM11,100.46,100.76,100.75,1.6,2.3,2.3
128,2005MM12,100.06,101.1,101.03,2.0,2.2,2.1
129,2005JJ00,100.0,100.0,100.0,1.5,2.2,2.2
130,2006MM01,100.28,100.66,100.64,1.8,2.4,2.3
131,2006MM02,100.78,100.95,100.93,1.4,2.3,2.2
132,2006MM03,101.58,101.53,101.41,1.4,2.2,2.1
133,2006MM04,102.06,102.2,102.07,1.8,2.5,2.3
134,2006MM05,102.02,102.48,102.42,1.8,2.5,2.4
135,2006MM06,101.68,102.56,102.53,1.8,2.5,2.4
136,2006MM07,101.32,102.43,102.43,1.7,2.4,2.4
137,2006MM08,101.81,102.52,102.6,1.9,2.3,2.3
138,2006MM09,102.3,102.52,102.65,1.5,1.7,1.9
139,2006MM10,102.12,102.6,102.74,1.3,1.6,1.8
140,2006MM11,102.1,102.64,102.82,1.6,1.9,2.1
141,2006MM12,101.75,103.04,103.2,1.7,1.9,2.1
142,2006JJ00,101.65,102.18,102.2,1.7,2.2,2.2
143,2007MM01,101.5,102.51,102.75,1.2,1.8,2.1
144,2007MM02,102.16,102.81,103.09,1.4,1.8,2.1
145,2007MM03,103.47,103.5,103.71,1.9,1.9,2.3
146,2007MM04,104.05,104.15,104.3,1.9,1.9,2.2
147,2007MM05,104.09,104.4,104.58,2.0,1.9,2.1
148,2007MM06,103.55,104.5,104.71,1.8,1.9,2.1
149,2007MM07,102.77,104.25,104.44,1.4,1.8,2.0
150,2007MM08,102.89,104.31,104.57,1.1,1.7,1.9
151,2007MM09,103.6,104.71,104.95,1.3,2.1,2.2
152,2007MM10,103.76,105.22,105.49,1.6,2.6,2.7
153,2007MM11,103.92,105.78,106.03,1.8,3.1,3.1
154,2007MM12,103.35,106.2,106.48,1.6,3.1,3.2
155,2007JJ00,103.26,104.36,104.59,1.6,2.1,2.3
156,2008MM01,103.32,105.8,106.25,1.8,3.2,3.4
157,2008MM02,104.2,106.17,106.7,2.0,3.3,3.5
158,2008MM03,105.44,107.21,107.6,1.9,3.6,3.8
159,2008MM04,105.81,107.55,108.05,1.7,3.3,3.6
160,2008MM05,106.25,108.23,108.72,2.1,3.7,4.0
161,2008MM06,105.94,108.64,109.17,2.3,4.0,4.3
162,2008MM07,105.82,108.47,109.08,3.0,4.0,4.4
163,2008MM08,105.96,108.32,109.04,3.0,3.8,4.3
164,2008MM09,106.49,108.52,109.34,2.8,3.6,4.2
165,2008MM10,106.32,108.55,109.37,2.5,3.2,3.7
166,2008MM11,105.88,108.02,108.96,1.9,2.1,2.8
167,2008MM12,105.07,107.88,108.77,1.7,1.6,2.2
168,2008JJ00,105.54,107.78,108.42,2.2,3.3,3.7
169,2009MM01,105.12,106.98,108.11,1.7,1.1,1.8
170,2009MM02,106.15,107.42,108.67,1.9,1.2,1.8
171,2009MM03,107.38,107.82,109.05,1.8,0.6,1.3
172,2009MM04,107.75,108.21,109.43,1.8,0.6,1.3
173,2009MM05,107.87,108.27,109.62,1.5,0.0,0.8
174,2009MM06,107.39,108.48,109.85,1.4,-0.1,0.6
175,2009MM07,105.67,107.77,109.34,-0.1,-0.6,0.2
176,2009MM08,105.89,108.14,109.65,-0.1,-0.2,0.6
177,2009MM09,106.46,108.16,109.69,0.0,-0.3,0.3
178,2009MM10,106.75,108.41,109.91,0.4,-0.1,0.5
179,2009MM11,106.59,108.54,110.09,0.7,0.5,1.0
180,2009MM12,105.82,108.88,110.44,0.7,0.9,1.5
181,2009JJ00,106.57,108.09,109.49,1.0,0.3,1.0
182,2010MM01,105.52,107.99,109.9,0.4,0.9,1.7
183,2010MM02,106.51,108.33,110.25,0.3,0.8,1.5
184,2010MM03,108.08,109.53,111.26,0.7,1.6,2.0
185,2010MM04,108.45,109.98,111.74,0.6,1.6,2.1
186,2010MM05,108.35,110.1,111.91,0.4,1.7,2.1
187,2010MM06,107.64,110.1,111.95,0.2,1.5,1.9
188,2010MM07,107.01,109.63,111.63,1.3,1.7,2.1
189,2010MM08,107.16,109.85,111.85,1.2,1.6,2.0
190,2010MM09,107.96,110.19,112.16,1.4,1.9,2.3
191,2010MM10,108.22,110.52,112.49,1.4,1.9,2.3
192,2010MM11,108.06,110.62,112.66,1.4,1.9,2.3
193,2010MM12,107.77,111.29,113.39,1.8,2.2,2.7
194,2010JJ00,107.56,109.84,111.77,0.9,1.6,2.1
195,2011MM01,107.52,110.49,112.92,1.9,2.3,2.7
196,2011MM02,108.6,110.96,113.44,2.0,2.4,2.9
197,2011MM03,110.08,112.46,114.68,1.9,2.7,3.1
198,2011MM04,110.74,113.09,115.38,2.1,2.8,3.3
199,2011MM05,110.82,113.09,115.48,2.3,2.7,3.2
200,2011MM06,110.12,113.08,115.41,2.3,2.7,3.1
201,2011MM07,110.48,112.44,114.92,3.2,2.6,2.9
202,2011MM08,110.61,112.65,115.16,3.2,2.5,3.0
203,2011MM09,111.15,113.47,115.89,3.0,3.0,3.3
204,2011MM10,111.27,113.87,116.25,2.8,3.0,3.3
205,2011MM11,110.83,113.97,116.43,2.6,3.0,3.3
206,2011MM12,110.48,114.35,116.83,2.5,2.7,3.0
207,2011JJ00,110.23,112.83,115.23,2.5,2.7,3.1
208,2012MM01,110.61,113.42,116.17,2.9,2.7,2.9
209,2012MM02,111.72,113.99,116.78,2.9,2.7,2.9
210,2012MM03,113.26,115.46,117.98,2.9,2.7,2.9
211,2012MM04,113.81,116.0,118.53,2.8,2.6,2.7
212,2012MM05,113.55,115.84,118.43,2.5,2.4,2.6
213,2012MM06,112.87,115.75,118.29,2.5,2.4,2.5
214,2012MM07,113.35,115.15,117.85,2.6,2.4,2.5
215,2012MM08,113.43,115.59,118.27,2.5,2.6,2.7
216,2012MM09,113.98,116.43,119.0,2.5,2.6,2.7
217,2012MM10,114.9,116.71,119.33,3.3,2.5,2.6
218,2012MM11,114.35,116.47,119.17,3.2,2.2,2.4
219,2012MM12,114.2,116.89,119.57,3.4,2.2,2.3
220,2012JJ00,113.34,115.64,118.28,2.8,2.5,2.6
221,2013MM01,114.17,115.67,118.62,3.2,2.0,2.1
222,2013MM02,115.34,116.09,119.09,3.2,1.8,2.0
223,2013MM03,116.88,117.47,120.19,3.2,1.7,1.9
224,2013MM04,116.97,117.36,120.17,2.8,1.2,1.4
225,2013MM05,117.02,117.49,120.29,3.1,1.4,1.6
226,2013MM06,116.44,117.61,120.35,3.2,1.6,1.7
227,2013MM07,116.86,116.99,119.88,3.1,1.6,1.7
228,2013MM08,116.6,117.14,120.04,2.8,1.3,1.5
229,2013MM09,116.7,117.71,120.52,2.4,1.1,1.3
230,2013MM10,116.4,117.56,120.43,1.3,0.7,0.9
231,2013MM11,115.71,117.47,120.34,1.2,0.9,1.0
232,2013MM12,115.81,117.88,120.75,1.4,0.8,1.0
233,2013JJ00,116.24,117.2,120.06,2.6,1.4,1.5
234,2014MM01,115.08,116.57,119.68,0.8,0.8,0.9
235,2014MM02,115.77,116.92,120.06,0.4,0.7,0.8
236,2014MM03,117.04,118.02,120.92,0.1,0.5,0.6
237,2014MM04,117.72,118.2,121.14,0.6,0.7,0.8
238,2014MM05,117.18,118.07,121.03,0.1,0.5,0.6
239,2014MM06,116.76,118.2,121.15,0.3,0.5,0.7
240,2014MM07,117.16,117.43,120.53,0.3,0.4,0.5
241,2014MM08,117.02,117.57,120.65,0.4,0.4,0.5
242,2014MM09,116.99,118.08,121.03,0.2,0.3,0.4
243,2014MM10,116.86,118.01,121.01,0.4,0.4,0.5
244,2014MM11,116.0,117.8,120.76,0.3,0.3,0.3
245,2014MM12,115.74,117.69,120.64,-0.1,-0.2,-0.1
246,2014JJ00,116.61,117.71,120.72,0.3,0.4,0.6
247,2015MM01,114.31,115.86,119.11,-0.7,-0.6,-0.5
248,2015MM02,115.24,116.61,119.74,-0.5,-0.3,-0.3
249,2015MM03,116.72,117.93,120.79,-0.3,-0.1,-0.1
250,2015MM04,117.69,118.21,121.1,0.0,0.0,0.0
251,2015MM05,117.98,118.48,121.38,0.7,0.3,0.3
252,2015MM06,117.33,118.46,121.31,0.5,0.2,0.1
253,2015MM07,118.11,117.71,120.72,0.8,0.2,0.2
254,2015MM08,117.53,117.72,120.71,0.4,0.1,0.0
255,2015MM09,117.33,117.98,120.87,0.3,-0.1,-0.1
256,2015MM10,117.32,118.15,121.02,0.4,0.1,0.0
257,2015MM11,116.43,117.98,120.87,0.4,0.1,0.1
258,2015MM12,116.3,117.96,120.85,0.5,0.2,0.2
259,2015JJ00,116.86,117.75,120.71,0.2,0.0,0.0
