ID,ICTStellingen,BeantwoordingICTStellingen,BedrijfstakkenBranchesSBI93,Perioden,AantalBedrijven250WerkzamePersonen_1,PercentageBedrijven250WerkzamePers_2
58,  1,  2,       6,2007JJ00  ,130,31
59,  1,  2,       6,2008JJ00  ,147,34
60,  1,  2,       7,2006JJ00  ,291,35
61,  1,  2,       7,2007JJ00  ,294,35
62,  1,  2,       7,2008JJ00  ,252,30
63,  1,  3,       1,2006JJ00  ,120,5
64,  1,  3,       1,2007JJ00  ,141,6
65,  1,  3,       1,2008JJ00  ,128,6
66,  1,  3,       2,2006JJ00  ,13,3
67,  1,  3,       2,2007JJ00  ,36,7
68,  1,  3,       2,2008JJ00  ,20,4
69,  1,  3,       3,2006JJ00  ,14,5
70,  1,  3,       3,2007JJ00  ,12,4
71,  1,  3,       3,2008JJ00  ,12,4
72,  1,  3,       4,2006JJ00  ,3,2
73,  1,  3,       4,2007JJ00  ,7,5
74,  1,  3,       4,2008JJ00  ,9,6
75,  1,  3,       5,2006JJ00  ,0,0
76,  1,  3,       5,2007JJ00  ,0,0
77,  1,  3,       5,2008JJ00  ,7,11
78,  1,  3,       6,2006JJ00  ,13,3
79,  1,  3,       6,2007JJ00  ,17,4
80,  1,  3,       6,2008JJ00  ,26,6
81,  1,  3,       7,2006JJ00  ,78,9
82,  1,  3,       7,2007JJ00  ,69,8
83,  1,  3,       7,2008JJ00  ,52,6
84,  1,  4,       1,2006JJ00  ,57,2
85,  1,  4,       1,2007JJ00  ,32,1
86,  1,  4,       1,2008JJ00  ,32,1
87,  1,  4,       2,2006JJ00  ,11,2
88,  1,  4,       2,2007JJ00  ,7,1
89,  1,  4,       2,2008JJ00  ,7,1
90,  1,  4,       3,2006JJ00  ,7,2
91,  1,  4,       3,2007JJ00  ,2,1
92,  1,  4,       3,2008JJ00  ,7,2
93,  1,  4,       4,2006JJ00  ,5,3
94,  1,  4,       4,2007JJ00  ,0,0
95,  1,  4,       4,2008JJ00  ,1,1
96,  1,  4,       5,2006JJ00  ,2,3
97,  1,  4,       5,2007JJ00  ,6,8
98,  1,  4,       5,2008JJ00  ,0,0
99,  1,  4,       6,2006JJ00  ,10,2
100,  1,  4,       6,2007JJ00  ,3,1
101,  1,  4,       6,2008JJ00  ,3,1
102,  1,  4,       7,2006JJ00  ,23,3
103,  1,  4,       7,2007JJ00  ,14,2
104,  1,  4,       7,2008JJ00  ,14,2
105,  2,  0,       1,2006JJ00  ,2282,100
106,  2,  0,       1,2007JJ00  ,2273,100
107,  2,  0,       1,2008JJ00  ,2256,100
108,  2,  0,       2,2006JJ00  ,495,100
109,  2,  0,       2,2007JJ00  ,496,100
110,  2,  0,       2,2008JJ00  ,492,100
111,  2,  0,       3,2006JJ00  ,293,100
112,  2,  0,       3,2007JJ00  ,298,100
113,  2,  0,       3,2008JJ00  ,299,100
114,  2,  0,       4,2006JJ00  ,152,100
115,  2,  0,       4,2007JJ00  ,153,100
116,  2,  0,       4,2008JJ00  ,146,100
117,  2,  0,       5,2006JJ00  ,74,100
118,  2,  0,       5,2007JJ00  ,73,100
119,  2,  0,       5,2008JJ00  ,63,100
120,  2,  0,       6,2006JJ00  ,430,100
121,  2,  0,       6,2007JJ00  ,423,100
122,  2,  0,       6,2008JJ00  ,430,100
123,  2,  0,       7,2006JJ00  ,838,100
124,  2,  0,       7,2007JJ00  ,830,100
125,  2,  0,       7,2008JJ00  ,827,100
126,  2,  1,       1,2006JJ00  ,715,31
127,  2,  1,       1,2007JJ00  ,785,35
128,  2,  1,       1,2008JJ00  ,778,34
129,  2,  1,       2,2006JJ00  ,145,29
130,  2,  1,       2,2007JJ00  ,165,33
131,  2,  1,       2,2008JJ00  ,155,32
132,  2,  1,       3,2006JJ00  ,89,30
133,  2,  1,       3,2007JJ00  ,104,35
134,  2,  1,       3,2008JJ00  ,110,37
135,  2,  1,       4,2006JJ00  ,53,35
136,  2,  1,       4,2007JJ00  ,51,33
137,  2,  1,       4,2008JJ00  ,45,31
138,  2,  1,       5,2006JJ00  ,41,55
139,  2,  1,       5,2007JJ00  ,28,38
140,  2,  1,       5,2008JJ00  ,32,51
141,  2,  1,       6,2006JJ00  ,138,32
142,  2,  1,       6,2007JJ00  ,179,42
143,  2,  1,       6,2008JJ00  ,157,37
144,  2,  1,       7,2006JJ00  ,248,30
145,  2,  1,       7,2007JJ00  ,259,31
146,  2,  1,       7,2008JJ00  ,279,34
147,  2,  2,       1,2006JJ00  ,1130,50
148,  2,  2,       1,2007JJ00  ,1078,47
149,  2,  2,       1,2008JJ00  ,1067,47
150,  2,  2,       2,2006JJ00  ,256,52
151,  2,  2,       2,2007JJ00  ,227,46
152,  2,  2,       2,2008JJ00  ,234,48
153,  2,  2,       3,2006JJ00  ,143,49
154,  2,  2,       3,2007JJ00  ,150,50
155,  2,  2,       3,2008JJ00  ,122,41
156,  2,  2,       4,2006JJ00  ,83,55
157,  2,  2,       4,2007JJ00  ,78,51
158,  2,  2,       4,2008JJ00  ,84,58
159,  2,  2,       5,2006JJ00  ,22,30
160,  2,  2,       5,2007JJ00  ,36,49
161,  2,  2,       5,2008JJ00  ,15,24
162,  2,  2,       6,2006JJ00  ,208,48
163,  2,  2,       6,2007JJ00  ,182,43
164,  2,  2,       6,2008JJ00  ,194,45
165,  2,  2,       7,2006JJ00  ,417,50
166,  2,  2,       7,2007JJ00  ,405,49
167,  2,  2,       7,2008JJ00  ,418,51
168,  2,  3,       1,2006JJ00  ,389,17
169,  2,  3,       1,2007JJ00  ,382,17
170,  2,  3,       1,2008JJ00  ,367,16
171,  2,  3,       2,2006JJ00  ,85,17
172,  2,  3,       2,2007JJ00  ,97,20
173,  2,  3,       2,2008JJ00  ,95,19
174,  2,  3,       3,2006JJ00  ,52,18
175,  2,  3,       3,2007JJ00  ,42,14
176,  2,  3,       3,2008JJ00  ,60,20
177,  2,  3,       4,2006JJ00  ,12,8
178,  2,  3,       4,2007JJ00  ,24,16
179,  2,  3,       4,2008JJ00  ,15,10
180,  2,  3,       5,2006JJ00  ,9,12
181,  2,  3,       5,2007JJ00  ,10,14
182,  2,  3,       5,2008JJ00  ,16,25
183,  2,  3,       6,2006JJ00  ,72,17
184,  2,  3,       6,2007JJ00  ,60,14
185,  2,  3,       6,2008JJ00  ,74,17
186,  2,  3,       7,2006JJ00  ,159,19
187,  2,  3,       7,2007JJ00  ,149,18
188,  2,  3,       7,2008JJ00  ,106,13
189,  2,  4,       1,2006JJ00  ,48,2
190,  2,  4,       1,2007JJ00  ,28,1
191,  2,  4,       1,2008JJ00  ,43,2
192,  2,  4,       2,2006JJ00  ,8,2
193,  2,  4,       2,2007JJ00  ,7,1
194,  2,  4,       2,2008JJ00  ,7,1
195,  2,  4,       3,2006JJ00  ,8,3
196,  2,  4,       3,2007JJ00  ,2,1
197,  2,  4,       3,2008JJ00  ,7,2
198,  2,  4,       4,2006JJ00  ,4,3
199,  2,  4,       4,2007JJ00  ,0,0
200,  2,  4,       4,2008JJ00  ,0,0
201,  2,  4,       5,2006JJ00  ,2,3
202,  2,  4,       5,2007JJ00  ,0,0
203,  2,  4,       5,2008JJ00  ,0,0
204,  2,  4,       6,2006JJ00  ,12,3
205,  2,  4,       6,2007JJ00  ,2,0
206,  2,  4,       6,2008JJ00  ,5,1
207,  2,  4,       7,2006JJ00  ,15,2
208,  2,  4,       7,2007JJ00  ,18,2
209,  2,  4,       7,2008JJ00  ,23,3
210,  3,  0,       1,2006JJ00  ,2282,100
211,  3,  0,       1,2007JJ00  ,2273,100
212,  3,  0,       1,2008JJ00  ,2256,100
213,  3,  0,       2,2006JJ00  ,495,100
214,  3,  0,       2,2007JJ00  ,496,100
215,  3,  0,       2,2008JJ00  ,492,100
216,  3,  0,       3,2006JJ00  ,293,100
217,  3,  0,       3,2007JJ00  ,298,100
218,  3,  0,       3,2008JJ00  ,299,100
219,  3,  0,       4,2006JJ00  ,152,100
220,  3,  0,       4,2007JJ00  ,153,100
221,  3,  0,       4,2008JJ00  ,146,100
222,  3,  0,       5,2006JJ00  ,74,100
223,  3,  0,       5,2007JJ00  ,73,100
224,  3,  0,       5,2008JJ00  ,63,100
225,  3,  0,       6,2006JJ00  ,430,100
226,  3,  0,       6,2007JJ00  ,423,100
227,  3,  0,       6,2008JJ00  ,430,100
228,  3,  0,       7,2006JJ00  ,838,100
229,  3,  0,       7,2007JJ00  ,830,100
230,  3,  0,       7,2008JJ00  ,827,100
231,  3,  1,       1,2006JJ00  ,1149,50
232,  3,  1,       1,2007JJ00  ,1160,51
233,  3,  1,       1,2008JJ00  ,1120,50
234,  3,  1,       2,2006JJ00  ,395,80
235,  3,  1,       2,2007JJ00  ,395,80
236,  3,  1,       2,2008JJ00  ,369,75
237,  3,  1,       3,2006JJ00  ,208,71
238,  3,  1,       3,2007JJ00  ,227,76
239,  3,  1,       3,2008JJ00  ,235,79
240,  3,  1,       4,2006JJ00  ,81,53
241,  3,  1,       4,2007JJ00  ,80,52
242,  3,  1,       4,2008JJ00  ,74,51
243,  3,  1,       5,2006JJ00  ,39,53
244,  3,  1,       5,2007JJ00  ,43,59
245,  3,  1,       5,2008JJ00  ,33,52
246,  3,  1,       6,2006JJ00  ,171,40
247,  3,  1,       6,2007JJ00  ,162,38
248,  3,  1,       6,2008JJ00  ,183,43
249,  3,  1,       7,2006JJ00  ,255,30
250,  3,  1,       7,2007JJ00  ,252,30
251,  3,  1,       7,2008JJ00  ,226,27
252,  3,  2,       1,2006JJ00  ,640,28
253,  3,  2,       1,2007JJ00  ,623,27
254,  3,  2,       1,2008JJ00  ,657,29
255,  3,  2,       2,2006JJ00  ,67,14
256,  3,  2,       2,2007JJ00  ,65,13
257,  3,  2,       2,2008JJ00  ,88,18
258,  3,  2,       3,2006JJ00  ,63,22
259,  3,  2,       3,2007JJ00  ,57,19
260,  3,  2,       3,2008JJ00  ,38,13
261,  3,  2,       4,2006JJ00  ,49,32
262,  3,  2,       4,2007JJ00  ,40,26
263,  3,  2,       4,2008JJ00  ,55,38
264,  3,  2,       5,2006JJ00  ,19,26
265,  3,  2,       5,2007JJ00  ,13,18
266,  3,  2,       5,2008JJ00  ,13,21
267,  3,  2,       6,2006JJ00  ,145,34
268,  3,  2,       6,2007JJ00  ,147,35
269,  3,  2,       6,2008JJ00  ,138,32
270,  3,  2,       7,2006JJ00  ,298,36
271,  3,  2,       7,2007JJ00  ,300,36
272,  3,  2,       7,2008JJ00  ,325,39
273,  3,  3,       1,2006JJ00  ,438,19
274,  3,  3,       1,2007JJ00  ,451,20
275,  3,  3,       1,2008JJ00  ,446,20
276,  3,  3,       2,2006JJ00  ,25,5
277,  3,  3,       2,2007JJ00  ,28,6
278,  3,  3,       2,2008JJ00  ,31,6
279,  3,  3,       3,2006JJ00  ,12,4
280,  3,  3,       3,2007JJ00  ,10,3
281,  3,  3,       3,2008JJ00  ,20,7
282,  3,  3,       4,2006JJ00  ,20,13
283,  3,  3,       4,2007JJ00  ,31,20
284,  3,  3,       4,2008JJ00  ,14,10
285,  3,  3,       5,2006JJ00  ,14,19
286,  3,  3,       5,2007JJ00  ,11,15
287,  3,  3,       5,2008JJ00  ,17,27
288,  3,  3,       6,2006JJ00  ,99,23
289,  3,  3,       6,2007JJ00  ,112,26
290,  3,  3,       6,2008JJ00  ,107,25
291,  3,  3,       7,2006JJ00  ,268,32
292,  3,  3,       7,2007JJ00  ,260,31
293,  3,  3,       7,2008JJ00  ,257,31
294,  3,  4,       1,2006JJ00  ,54,2
295,  3,  4,       1,2007JJ00  ,40,2
296,  3,  4,       1,2008JJ00  ,32,1
297,  3,  4,       2,2006JJ00  ,8,2
298,  3,  4,       2,2007JJ00  ,9,2
299,  3,  4,       2,2008JJ00  ,4,1
300,  3,  4,       3,2006JJ00  ,9,3
301,  3,  4,       3,2007JJ00  ,4,1
302,  3,  4,       3,2008JJ00  ,5,2
303,  3,  4,       4,2006JJ00  ,2,1
304,  3,  4,       4,2007JJ00  ,2,1
305,  3,  4,       4,2008JJ00  ,4,3
306,  3,  4,       5,2006JJ00  ,2,3
307,  3,  4,       5,2007JJ00  ,6,8
308,  3,  4,       5,2008JJ00  ,4,6
309,  3,  4,       6,2006JJ00  ,16,4
310,  3,  4,       6,2007JJ00  ,2,0
311,  3,  4,       6,2008JJ00  ,1,0
312,  3,  4,       7,2006JJ00  ,18,2
313,  3,  4,       7,2007JJ00  ,17,2
314,  3,  4,       7,2008JJ00  ,19,2
315,  4,  0,       1,2006JJ00  ,2282,100
316,  4,  0,       1,2007JJ00  ,2273,100
317,  4,  0,       1,2008JJ00  ,2256,100
318,  4,  0,       2,2006JJ00  ,495,100
319,  4,  0,       2,2007JJ00  ,496,100
320,  4,  0,       2,2008JJ00  ,492,100
321,  4,  0,       3,2006JJ00  ,293,100
322,  4,  0,       3,2007JJ00  ,298,100
323,  4,  0,       3,2008JJ00  ,299,100
324,  4,  0,       4,2006JJ00  ,152,100
325,  4,  0,       4,2007JJ00  ,153,100
326,  4,  0,       4,2008JJ00  ,146,100
327,  4,  0,       5,2006JJ00  ,74,100
328,  4,  0,       5,2007JJ00  ,73,100
329,  4,  0,       5,2008JJ00  ,63,100
330,  4,  0,       6,2006JJ00  ,430,100
331,  4,  0,       6,2007JJ00  ,423,100
332,  4,  0,       6,2008JJ00  ,430,100
333,  4,  0,       7,2006JJ00  ,838,100
334,  4,  0,       7,2007JJ00  ,830,100
335,  4,  0,       7,2008JJ00  ,827,100
336,  4,  1,       1,2006JJ00  ,693,30
337,  4,  1,       1,2007JJ00  ,730,32
338,  4,  1,       1,2008JJ00  ,680,30
339,  4,  1,       2,2006JJ00  ,173,35
340,  4,  1,       2,2007JJ00  ,178,36
341,  4,  1,       2,2008JJ00  ,154,31
342,  4,  1,       3,2006JJ00  ,109,37
343,  4,  1,       3,2007JJ00  ,109,37
344,  4,  1,       3,2008JJ00  ,126,42
345,  4,  1,       4,2006JJ00  ,53,35
346,  4,  1,       4,2007JJ00  ,51,33
347,  4,  1,       4,2008JJ00  ,39,27
348,  4,  1,       5,2006JJ00  ,34,46
349,  4,  1,       5,2007JJ00  ,36,49
350,  4,  1,       5,2008JJ00  ,33,52
351,  4,  1,       6,2006JJ00  ,143,33
352,  4,  1,       6,2007JJ00  ,148,35
353,  4,  1,       6,2008JJ00  ,154,36
354,  4,  1,       7,2006JJ00  ,182,22
355,  4,  1,       7,2007JJ00  ,207,25
356,  4,  1,       7,2008JJ00  ,175,21
357,  4,  2,       1,2006JJ00  ,614,27
358,  4,  2,       1,2007JJ00  ,623,27
359,  4,  2,       1,2008JJ00  ,623,28
360,  4,  2,       2,2006JJ00  ,118,24
361,  4,  2,       2,2007JJ00  ,136,27
362,  4,  2,       2,2008JJ00  ,149,30
363,  4,  2,       3,2006JJ00  ,98,33
364,  4,  2,       3,2007JJ00  ,90,30
365,  4,  2,       3,2008JJ00  ,68,23
366,  4,  2,       4,2006JJ00  ,31,20
367,  4,  2,       4,2007JJ00  ,45,29
368,  4,  2,       4,2008JJ00  ,54,37
369,  4,  2,       5,2006JJ00  ,12,16
370,  4,  2,       5,2007JJ00  ,15,21
371,  4,  2,       5,2008JJ00  ,8,13
372,  4,  2,       6,2006JJ00  ,116,27
373,  4,  2,       6,2007JJ00  ,117,28
374,  4,  2,       6,2008JJ00  ,131,30
375,  4,  2,       7,2006JJ00  ,239,29
376,  4,  2,       7,2007JJ00  ,221,27
377,  4,  2,       7,2008JJ00  ,214,26
378,  4,  3,       1,2006JJ00  ,923,40
379,  4,  3,       1,2007JJ00  ,885,39
380,  4,  3,       1,2008JJ00  ,912,40
381,  4,  3,       2,2006JJ00  ,194,39
382,  4,  3,       2,2007JJ00  ,174,35
383,  4,  3,       2,2008JJ00  ,184,37
384,  4,  3,       3,2006JJ00  ,76,26
385,  4,  3,       3,2007JJ00  ,96,32
386,  4,  3,       3,2008JJ00  ,97,32
387,  4,  3,       4,2006JJ00  ,66,43
388,  4,  3,       4,2007JJ00  ,55,36
389,  4,  3,       4,2008JJ00  ,52,36
390,  4,  3,       5,2006JJ00  ,26,35
391,  4,  3,       5,2007JJ00  ,20,27
392,  4,  3,       5,2008JJ00  ,22,35
393,  4,  3,       6,2006JJ00  ,160,37
394,  4,  3,       6,2007JJ00  ,155,37
395,  4,  3,       6,2008JJ00  ,142,33
396,  4,  3,       7,2006JJ00  ,401,48
397,  4,  3,       7,2007JJ00  ,385,46
398,  4,  3,       7,2008JJ00  ,416,50
399,  4,  4,       1,2006JJ00  ,52,2
400,  4,  4,       1,2007JJ00  ,35,2
401,  4,  4,       1,2008JJ00  ,40,2
402,  4,  4,       2,2006JJ00  ,10,2
403,  4,  4,       2,2007JJ00  ,8,2
404,  4,  4,       2,2008JJ00  ,5,1
405,  4,  4,       3,2006JJ00  ,10,3
406,  4,  4,       3,2007JJ00  ,2,1
407,  4,  4,       3,2008JJ00  ,9,3
408,  4,  4,       4,2006JJ00  ,2,1
409,  4,  4,       4,2007JJ00  ,2,1
410,  4,  4,       4,2008JJ00  ,13,9
411,  4,  4,       5,2006JJ00  ,2,3
412,  4,  4,       5,2007JJ00  ,3,4
413,  4,  4,       5,2008JJ00  ,5,8
414,  4,  4,       6,2006JJ00  ,11,3
415,  4,  4,       6,2007JJ00  ,3,1
416,  4,  4,       6,2008JJ00  ,4,1
417,  4,  4,       7,2006JJ00  ,16,2
418,  4,  4,       7,2007JJ00  ,18,2
419,  4,  4,       7,2008JJ00  ,21,3
