ID,KenmerkenGezondheidEnLeefstijl,Cijfersoort,Perioden,ScoreGeluk_1,Ongelukkig_2,NietGelukkigNietOngelukkig_3,Gelukkig_4,ScoreTevredenheidMetHetLeven_5,Ontevreden_6,NietTevredenNietOntevreden_7,Tevreden_8,ScoreTevredenheidMetLichGezondheid_9,Ontevreden_10,NietTevredenNietOntevreden_11,Tevreden_12,ScoreTevredenheidPsychischeGezondheid_13,Ontevreden_14,NietTevredenNietOntevreden_15,Tevreden_16,ScoreTevredenheidMetGewicht_17,Ontevreden_18,NietTevredenNietOntevreden_19,Tevreden_20
10,T009002,B000150,2014JJ00,0.0,0.2,0.3,0.4,0.0,0.2,0.4,0.4,0.0,0.3,0.5,0.5,0.0,0.2,0.4,0.4,0.0,0.4,0.5,0.6
11,T009002,B000150,2015JJ00,0.0,0.2,0.4,0.4,0.0,0.2,0.4,0.4,0.0,0.4,0.5,0.5,0.0,0.3,0.4,0.4,0.0,0.4,0.5,0.6
12,T009002,B000150,2016JJ00,0.0,0.2,0.3,0.4,0.0,0.2,0.4,0.4,0.0,0.4,0.5,0.5,0.0,0.2,0.4,0.4,0.0,0.4,0.5,0.6
13,T009002,B000150,2017JJ00,0.0,0.2,0.3,0.4,0.0,0.2,0.4,0.4,0.0,0.4,0.5,0.5,0.0,0.3,0.4,0.4,0.0,0.4,0.5,0.6
14,T009002,B000150,2018JJ00,0.0,0.2,0.3,0.4,0.0,0.2,0.4,0.4,0.0,0.3,0.5,0.5,0.0,0.3,0.4,0.4,0.0,0.4,0.5,0.6
15,T009002,B000150,2019JJ00,0.0,0.2,0.3,0.4,0.0,0.2,0.4,0.4,0.0,0.3,0.5,0.5,0.0,0.3,0.4,0.4,0.0,0.4,0.5,0.6
16,T009002,B000150,2020JJ00,0.0,0.2,0.4,0.4,0.0,0.2,0.4,0.4,0.0,0.3,0.5,0.5,0.0,0.3,0.4,0.5,0.0,0.4,0.5,0.6
17,T009002,B000150,2021JJ00,0.0,0.2,0.4,0.4,0.0,0.2,0.4,0.5,0.0,0.4,0.5,0.6,0.0,0.3,0.4,0.5,0.0,0.4,0.5,0.6
18,A027864,B000167,2013JJ00,7.1,6.0,18.9,75.1,6.9,8.4,20.8,70.9,5.1,31.5,44.4,24.1,6.9,12.4,20.1,67.5,6.2,20.9,27.6,51.5
19,A027864,B000167,2014JJ00,7.1,5.8,19.9,74.3,7.0,7.6,22.0,70.5,5.2,29.6,44.5,25.9,6.8,11.7,22.7,65.6,6.3,18.9,28.9,52.2
20,A027864,B000167,2015JJ00,7.1,6.1,19.6,74.3,6.9,9.1,21.9,69.0,5.1,32.9,42.3,24.8,6.9,12.9,21.2,65.9,6.2,21.0,25.9,53.2
21,A027864,B000167,2016JJ00,7.1,5.9,17.8,76.3,7.0,6.8,22.2,71.1,5.2,31.5,44.6,23.9,6.9,11.3,21.6,67.1,6.2,21.1,27.6,51.3
22,A027864,B000167,2017JJ00,7.1,6.5,19.8,73.7,7.0,8.5,20.7,70.8,5.1,33.1,41.9,25.0,6.8,12.6,24.1,63.3,6.2,20.1,28.9,51.0
23,A027864,B000167,2018JJ00,7.1,6.1,19.0,75.0,7.0,5.9,23.1,71.1,5.2,29.0,45.4,25.6,6.8,13.7,22.4,63.8,6.1,21.1,29.4,49.5
24,A027864,B000167,2019JJ00,7.1,5.6,18.1,76.3,7.1,5.3,19.7,75.0,5.2,29.0,46.1,24.9,6.8,13.1,23.1,63.8,6.2,19.8,28.8,51.4
25,A027864,B000167,2020JJ00,7.1,5.5,21.5,73.0,7.0,6.0,24.7,69.3,5.3,28.2,45.3,26.6,6.8,13.4,23.6,63.0,6.2,19.8,29.3,50.8
26,A027864,B000167,2021JJ00,7.0,7.4,19.2,73.5,6.9,7.4,23.4,69.2,5.2,30.9,45.2,23.8,6.6,15.2,24.2,60.6,6.1,21.1,28.2,50.7
27,A027864,B000150,2013JJ00,0.0,0.5,0.9,1.0,0.0,0.6,0.9,1.0,0.0,1.1,1.1,1.0,0.0,0.7,0.9,1.1,0.1,0.9,1.0,1.2
28,A027864,B000150,2014JJ00,0.0,0.5,0.9,1.0,0.0,0.6,0.9,1.0,0.0,1.0,1.1,1.0,0.0,0.7,0.9,1.1,0.1,0.9,1.0,1.1
29,A027864,B000150,2015JJ00,0.0,0.5,0.9,1.0,0.0,0.6,0.9,1.0,0.0,1.0,1.1,0.9,0.0,0.7,0.9,1.0,0.1,0.9,1.0,1.1
30,A027864,B000150,2016JJ00,0.0,0.5,0.9,1.0,0.0,0.6,0.9,1.0,0.0,1.0,1.1,1.0,0.0,0.7,0.9,1.1,0.1,0.9,1.0,1.1
31,A027864,B000150,2017JJ00,0.0,0.5,0.9,1.0,0.0,0.6,0.9,1.0,0.0,1.0,1.1,1.0,0.0,0.7,0.9,1.1,0.1,0.9,1.0,1.1
32,A027864,B000150,2018JJ00,0.0,0.5,0.8,0.9,0.0,0.5,0.9,1.0,0.0,1.0,1.1,0.9,0.0,0.7,0.9,1.0,0.0,0.9,1.0,1.1
33,A027864,B000150,2019JJ00,0.0,0.5,0.8,0.9,0.0,0.5,0.9,0.9,0.0,1.0,1.1,0.9,0.0,0.7,0.9,1.0,0.0,0.9,1.0,1.1
34,A027864,B000150,2020JJ00,0.0,0.5,0.9,1.0,0.0,0.5,0.9,1.0,0.0,1.0,1.1,1.0,0.0,0.7,0.9,1.0,0.0,0.9,1.0,1.1
35,A027864,B000150,2021JJ00,0.0,0.6,0.9,1.1,0.0,0.6,1.0,1.1,0.0,1.1,1.2,1.0,0.0,0.8,1.0,1.2,0.1,1.0,1.1,1.2
36,A027865,B000167,2013JJ00,7.9,1.2,6.6,92.3,7.8,1.5,10.0,88.5,7.8,1.2,10.4,88.4,8.2,1.7,6.6,91.7,7.2,8.5,20.5,70.9
37,A027865,B000167,2014JJ00,7.9,1.0,5.8,93.2,7.8,1.7,8.2,90.1,7.8,1.7,9.4,88.9,8.2,1.6,5.9,92.5,7.2,8.9,21.1,70.0
38,A027865,B000167,2015JJ00,7.9,1.3,5.8,92.9,7.8,1.6,8.2,90.2,7.8,1.5,10.5,88.1,8.1,1.8,7.0,91.2,7.2,9.2,20.2,70.6
39,A027865,B000167,2016JJ00,8.0,1.3,5.6,93.1,7.8,1.5,7.7,90.8,7.7,1.4,11.1,87.5,8.1,1.8,6.5,91.7,7.2,8.6,21.2,70.2
40,A027865,B000167,2017JJ00,8.0,1.3,5.7,93.0,7.9,1.5,7.1,91.4,7.7,1.5,10.5,88.0,8.1,1.9,7.1,91.0,7.1,9.2,21.2,69.7
41,A027865,B000167,2018JJ00,7.9,1.5,5.4,93.2,7.9,1.0,7.0,92.0,7.7,1.7,10.0,88.3,8.1,2.1,7.8,90.0,7.2,8.1,19.7,72.3
42,A027865,B000167,2019JJ00,8.0,1.3,4.3,94.4,7.9,1.1,6.3,92.6,7.7,1.4,9.8,88.9,8.1,1.8,6.6,91.5,7.2,7.7,19.9,72.4
43,A027865,B000167,2020JJ00,7.9,1.7,5.9,92.4,7.8,1.4,7.3,91.2,7.7,1.8,10.4,87.8,8.0,2.4,8.3,89.3,7.2,8.1,21.1,70.8
44,A027865,B000167,2021JJ00,7.9,1.6,6.8,91.5,7.8,1.7,8.9,89.4,7.7,1.8,11.2,87.0,7.9,3.1,9.7,87.3,7.3,8.2,18.4,73.3
45,A027865,B000150,2013JJ00,0.0,0.2,0.3,0.4,0.0,0.2,0.4,0.5,0.0,0.2,0.4,0.5,0.0,0.2,0.4,0.4,0.0,0.4,0.6,0.6
46,A027865,B000150,2014JJ00,0.0,0.1,0.3,0.3,0.0,0.2,0.4,0.4,0.0,0.2,0.4,0.4,0.0,0.2,0.3,0.4,0.0,0.4,0.6,0.6
47,A027865,B000150,2015JJ00,0.0,0.2,0.3,0.4,0.0,0.2,0.4,0.4,0.0,0.2,0.4,0.5,0.0,0.2,0.4,0.4,0.0,0.4,0.6,0.6
48,A027865,B000150,2016JJ00,0.0,0.2,0.3,0.4,0.0,0.2,0.4,0.4,0.0,0.2,0.4,0.5,0.0,0.2,0.3,0.4,0.0,0.4,0.6,0.7
49,A027865,B000150,2017JJ00,0.0,0.2,0.3,0.4,0.0,0.2,0.4,0.4,0.0,0.2,0.4,0.5,0.0,0.2,0.4,0.4,0.0,0.4,0.6,0.7
50,A027865,B000150,2018JJ00,0.0,0.2,0.3,0.4,0.0,0.1,0.4,0.4,0.0,0.2,0.4,0.4,0.0,0.2,0.4,0.4,0.0,0.4,0.6,0.6
51,A027865,B000150,2019JJ00,0.0,0.2,0.3,0.3,0.0,0.1,0.3,0.4,0.0,0.2,0.4,0.4,0.0,0.2,0.4,0.4,0.0,0.4,0.6,0.6
52,A027865,B000150,2020JJ00,0.0,0.2,0.3,0.4,0.0,0.2,0.4,0.4,0.0,0.2,0.4,0.5,0.0,0.2,0.4,0.4,0.0,0.4,0.6,0.6
53,A027865,B000150,2021JJ00,0.0,0.2,0.4,0.4,0.0,0.2,0.4,0.5,0.0,0.2,0.5,0.5,0.0,0.3,0.4,0.5,0.0,0.4,0.6,0.7
54,A027866,B000167,2013JJ00,7.9,1.4,7.2,91.4,7.7,1.9,10.3,87.9,7.8,1.9,11.3,86.7,8.1,2.0,7.1,90.9,7.1,9.5,20.9,69.6
55,A027866,B000167,2014JJ00,7.9,1.2,6.4,92.4,7.8,1.7,8.7,89.7,7.8,1.8,10.3,87.9,8.1,1.6,7.2,91.2,7.1,9.6,20.9,69.5
56,A027866,B000167,2015JJ00,7.9,1.5,6.5,91.9,7.8,1.9,9.2,88.9,7.7,2.4,11.8,85.8,8.1,2.0,7.8,90.1,7.1,10.5,20.0,69.5
57,A027866,B000167,2016JJ00,7.9,1.5,6.2,92.3,7.8,1.8,8.5,89.7,7.7,2.0,13.1,84.8,8.1,2.1,7.9,90.0,7.1,9.9,21.0,69.0
58,A027866,B000167,2017JJ00,7.9,1.5,6.9,91.6,7.8,1.6,8.4,90.1,7.7,2.1,11.8,86.1,8.0,2.3,8.9,88.7,7.1,9.6,20.8,69.6
59,A027866,B000167,2018JJ00,7.9,1.8,6.5,91.7,7.8,1.3,8.6,90.1,7.6,2.5,12.6,84.8,8.0,2.9,9.1,88.0,7.1,9.7,20.8,69.5
60,A027866,B000167,2019JJ00,7.9,1.5,5.6,92.8,7.8,1.3,7.8,90.9,7.6,2.6,12.3,85.1,8.0,2.6,8.5,89.0,7.2,8.8,20.7,70.5
61,A027866,B000167,2020JJ00,7.8,1.7,7.1,91.2,7.8,1.6,8.5,89.9,7.6,2.7,12.3,85.0,7.9,2.9,9.4,87.7,7.1,9.4,21.5,69.1
62,A027866,B000167,2021JJ00,7.8,2.3,7.4,90.3,7.7,2.0,10.2,87.8,7.6,2.8,12.5,84.6,7.8,4.1,11.1,84.7,7.2,9.8,18.1,72.1
63,A027866,B000150,2013JJ00,0.0,0.2,0.4,0.4,0.0,0.2,0.5,0.5,0.0,0.2,0.5,0.5,0.0,0.2,0.4,0.4,0.0,0.4,0.6,0.7
64,A027866,B000150,2014JJ00,0.0,0.2,0.4,0.4,0.0,0.2,0.4,0.4,0.0,0.2,0.4,0.5,0.0,0.2,0.4,0.4,0.0,0.4,0.6,0.7
65,A027866,B000150,2015JJ00,0.0,0.2,0.4,0.4,0.0,0.2,0.4,0.5,0.0,0.2,0.5,0.5,0.0,0.2,0.4,0.4,0.0,0.5,0.6,0.7
66,A027866,B000150,2016JJ00,0.0,0.2,0.4,0.4,0.0,0.2,0.4,0.5,0.0,0.2,0.5,0.5,0.0,0.2,0.4,0.4,0.0,0.5,0.6,0.7
67,A027866,B000150,2017JJ00,0.0,0.2,0.4,0.4,0.0,0.2,0.4,0.4,0.0,0.2,0.5,0.5,0.0,0.2,0.4,0.5,0.0,0.4,0.6,0.7
68,A027866,B000150,2018JJ00,0.0,0.2,0.4,0.4,0.0,0.2,0.4,0.4,0.0,0.2,0.5,0.5,0.0,0.2,0.4,0.5,0.0,0.4,0.6,0.7
69,A027866,B000150,2019JJ00,0.0,0.2,0.3,0.4,0.0,0.2,0.4,0.4,0.0,0.2,0.5,0.5,0.0,0.2,0.4,0.5,0.0,0.4,0.6,0.7
70,A027866,B000150,2020JJ00,0.0,0.2,0.4,0.4,0.0,0.2,0.4,0.4,0.0,0.2,0.5,0.5,0.0,0.2,0.4,0.5,0.0,0.4,0.6,0.7
71,A027866,B000150,2021JJ00,0.0,0.2,0.4,0.5,0.0,0.2,0.5,0.5,0.0,0.3,0.5,0.6,0.0,0.3,0.5,0.6,0.0,0.5,0.6,0.7
72,A027867,B000167,2013JJ00,7.5,2.7,12.8,84.4,7.4,4.0,16.8,79.2,6.1,16.1,37.0,46.8,7.4,6.5,15.7,77.8,6.6,15.3,26.1,58.6
73,A027867,B000167,2014JJ00,7.5,3.0,13.0,84.0,7.3,4.2,16.0,79.8,6.2,15.2,37.8,47.0,7.4,6.8,15.9,77.2,6.6,14.4,28.3,57.3
74,A027867,B000167,2015JJ00,7.5,3.1,12.8,84.1,7.4,4.2,15.5,80.3,6.1,16.6,36.2,47.1,7.4,7.8,17.0,75.3,6.6,15.4,25.8,58.8
75,A027867,B000167,2016JJ00,7.5,2.7,12.0,85.3,7.4,3.7,14.6,81.7,6.2,16.1,35.2,48.7,7.5,6.0,15.0,79.1,6.6,15.3,26.9,57.8
76,A027867,B000167,2017JJ00,7.6,2.5,12.3,85.1,7.5,4.0,13.4,82.6,6.1,17.4,34.0,48.6,7.4,7.1,15.6,77.4,6.5,16.3,27.8,55.9
77,A027867,B000167,2018JJ00,7.4,3.6,13.0,83.4,7.4,3.0,15.8,81.2,6.1,15.9,35.6,48.6,7.2,8.8,16.4,74.8,6.6,14.8,26.4,58.9
78,A027867,B000167,2019JJ00,7.5,3.2,10.3,86.5,7.5,2.9,11.4,85.6,6.2,15.4,36.9,47.6,7.4,7.2,16.1,76.8,6.6,15.5,26.0,58.4
79,A027867,B000167,2020JJ00,7.4,3.4,14.4,82.2,7.4,3.1,17.1,79.8,6.2,14.8,37.4,47.9,7.2,8.3,18.3,73.4,6.6,14.7,27.1,58.2
80,A027867,B000167,2021JJ00,7.4,3.7,14.1,82.2,7.4,3.8,15.9,80.3,6.1,16.3,37.7,46.1,7.2,8.6,18.8,72.6,6.5,15.5,27.2,57.3
81,A027867,B000150,2013JJ00,0.0,0.4,0.8,0.8,0.0,0.5,0.9,0.9,0.0,0.8,1.1,1.1,0.0,0.6,0.8,1.0,0.1,0.8,1.0,1.1
82,A027867,B000150,2014JJ00,0.0,0.4,0.8,0.8,0.0,0.5,0.8,0.9,0.0,0.8,1.1,1.1,0.0,0.6,0.8,0.9,0.0,0.8,1.0,1.1
83,A027867,B000150,2015JJ00,0.0,0.4,0.8,0.8,0.0,0.5,0.8,0.9,0.0,0.8,1.1,1.1,0.0,0.6,0.8,1.0,0.0,0.8,1.0,1.1
84,A027867,B000150,2016JJ00,0.0,0.4,0.7,0.8,0.0,0.4,0.8,0.9,0.0,0.8,1.1,1.1,0.0,0.5,0.8,0.9,0.0,0.8,1.0,1.1
85,A027867,B000150,2017JJ00,0.0,0.4,0.7,0.8,0.0,0.4,0.8,0.8,0.0,0.8,1.1,1.1,0.0,0.6,0.8,0.9,0.0,0.8,1.0,1.1
86,A027867,B000150,2018JJ00,0.0,0.4,0.8,0.8,0.0,0.4,0.8,0.9,0.0,0.8,1.1,1.1,0.0,0.6,0.8,1.0,0.0,0.8,1.0,1.1
87,A027867,B000150,2019JJ00,0.0,0.4,0.7,0.8,0.0,0.4,0.7,0.8,0.0,0.8,1.1,1.1,0.0,0.6,0.8,0.9,0.0,0.8,1.0,1.1
88,A027867,B000150,2020JJ00,0.0,0.4,0.8,0.9,0.0,0.4,0.8,0.9,0.0,0.8,1.1,1.1,0.0,0.6,0.9,1.0,0.0,0.8,1.0,1.1
89,A027867,B000150,2021JJ00,0.0,0.5,0.8,0.9,0.0,0.5,0.9,1.0,0.0,0.9,1.2,1.2,0.0,0.7,0.9,1.1,0.1,0.9,1.1,1.2
90,A027868,B000167,2013JJ00,7.0,10.5,22.7,66.8,6.7,14.2,21.9,63.9,4.4,49.6,30.8,19.6,6.7,19.9,18.4,61.7,6.3,20.5,23.0,56.5
91,A027868,B000167,2014JJ00,6.9,9.3,25.5,65.2,6.6,13.7,26.8,59.5,4.4,51.4,27.4,21.2,6.5,18.8,19.9,61.3,6.4,19.4,24.4,56.2
92,A027868,B000167,2015JJ00,6.7,11.0,25.0,64.0,6.4,17.5,23.9,58.6,4.2,54.9,27.6,17.5,6.6,19.7,18.9,61.5,6.4,19.7,23.3,57.0
93,A027868,B000167,2016JJ00,6.8,11.4,21.7,67.0,6.7,10.7,29.3,59.9,4.5,51.1,29.4,19.5,6.6,19.8,19.8,60.3,6.3,18.8,24.2,57.0
94,A027868,B000167,2017JJ00,6.7,13.2,22.8,64.0,6.5,16.4,23.2,60.4,4.4,52.1,29.1,18.8,6.5,18.3,22.6,59.1,6.3,18.9,28.8,52.3
95,A027868,B000167,2018JJ00,7.0,8.4,20.5,71.0,6.8,9.6,23.5,66.9,4.6,46.7,33.7,19.5,6.7,15.9,22.8,61.3,6.4,20.4,23.4,56.2
96,A027868,B000167,2019JJ00,6.8,9.0,24.7,66.2,6.8,8.7,26.1,65.2,4.6,46.3,31.1,22.6,6.6,19.1,21.2,59.7,6.5,16.1,25.2,58.7
97,A027868,B000167,2020JJ00,6.9,8.5,24.4,67.1,6.7,11.0,28.5,60.5,4.7,45.2,31.3,23.5,6.6,17.6,20.5,61.9,6.4,17.6,26.3,56.0
98,A027868,B000167,2021JJ00,6.9,9.7,21.4,68.9,6.7,12.2,26.4,61.4,4.6,47.6,31.6,20.8,6.6,19.4,18.5,62.2,6.5,16.2,26.3,57.5
99,A027868,B000150,2013JJ00,0.1,1.3,1.8,2.0,0.1,1.5,1.7,2.0,0.1,2.1,1.9,1.7,0.1,1.7,1.6,2.0,0.1,1.7,1.8,2.1
100,A027868,B000150,2014JJ00,0.1,1.2,1.8,2.0,0.1,1.4,1.9,2.1,0.1,2.1,1.9,1.7,0.1,1.6,1.7,2.0,0.1,1.7,1.9,2.1
101,A027868,B000150,2015JJ00,0.1,1.3,1.8,1.9,0.1,1.5,1.7,2.0,0.1,2.0,1.8,1.5,0.1,1.6,1.6,2.0,0.1,1.6,1.7,2.0
102,A027868,B000150,2016JJ00,0.1,1.4,1.8,2.0,0.1,1.3,2.0,2.1,0.1,2.1,1.9,1.7,0.1,1.7,1.7,2.1,0.1,1.7,1.9,2.2
103,A027868,B000150,2017JJ00,0.1,1.4,1.7,1.9,0.1,1.5,1.7,2.0,0.1,2.0,1.8,1.6,0.1,1.6,1.7,2.0,0.1,1.6,1.9,2.1
104,A027868,B000150,2018JJ00,0.1,1.1,1.6,1.9,0.1,1.2,1.7,1.9,0.1,2.0,1.9,1.6,0.1,1.5,1.7,1.9,0.1,1.7,1.8,2.1
105,A027868,B000150,2019JJ00,0.1,1.2,1.8,2.0,0.1,1.2,1.8,2.0,0.1,2.1,1.9,1.7,0.1,1.6,1.7,2.0,0.1,1.6,1.9,2.1
106,A027868,B000150,2020JJ00,0.1,1.2,1.8,2.0,0.1,1.3,1.9,2.0,0.1,2.0,1.9,1.7,0.1,1.6,1.6,2.0,0.1,1.6,1.9,2.1
107,A027868,B000150,2021JJ00,0.1,1.3,1.9,2.1,0.1,1.5,2.0,2.2,0.1,2.2,2.1,1.8,0.1,1.8,1.7,2.2,0.1,1.7,2.1,2.3
108,A027869,B000167,2013JJ00,,,,,,,,,,,,,,,,,,,,
109,A027869,B000167,2014JJ00,7.4,3.6,15.2,81.3,7.2,8.6,14.3,77.1,6.7,18.2,16.2,65.6,7.3,9.1,19.5,71.5,6.8,19.1,17.1,63.8
110,A027869,B000167,2015JJ00,7.4,4.1,17.7,78.2,7.2,6.7,15.9,77.4,6.7,18.6,14.3,67.1,7.2,11.7,16.3,72.1,6.3,27.3,19.3,53.4
111,A027869,B000167,2016JJ00,7.6,5.8,16.1,78.1,7.3,8.4,14.5,77.1,7.0,16.9,13.8,69.4,7.4,10.4,15.1,74.4,7.0,17.1,20.5,62.5
112,A027869,B000167,2017JJ00,,,,,,,,,,,,,,,,,,,,
113,A027869,B000167,2018JJ00,7.8,0.0,13.0,87.0,7.6,0.9,15.8,83.3,7.4,6.6,21.5,71.9,7.9,2.5,11.8,85.7,6.9,11.2,25.7,63.1
114,A027869,B000167,2019JJ00,,,,,,,,,,,,,,,,,,,,
115,A027869,B000167,2020JJ00,,,,,,,,,,,,,,,,,,,,
116,A027869,B000167,2021JJ00,,,,,,,,,,,,,,,,,,,,
117,A027869,B000150,2013JJ00,,,,,,,,,,,,,,,,,,,,
118,A027869,B000150,2014JJ00,0.1,1.7,3.2,3.5,0.2,2.5,3.1,3.8,0.2,3.4,3.3,4.2,0.2,2.6,3.5,4.0,0.2,3.5,3.4,4.3
119,A027869,B000150,2015JJ00,0.1,1.8,3.4,3.7,0.1,2.2,3.2,3.7,0.2,3.4,3.1,4.1,0.2,2.8,3.2,3.9,0.2,3.9,3.5,4.4
120,A027869,B000150,2016JJ00,0.2,2.2,3.5,3.9,0.2,2.6,3.3,4.0,0.2,3.6,3.3,4.4,0.2,2.9,3.4,4.1,0.2,3.6,3.9,4.7
121,A027869,B000150,2017JJ00,,,,,,,,,,,,,,,,,,,,
122,A027869,B000150,2018JJ00,0.1,0.0,3.2,3.2,0.1,0.9,3.5,3.6,0.2,2.4,3.9,4.3,0.1,1.5,3.1,3.3,0.2,3.0,4.1,4.6
123,A027869,B000150,2019JJ00,,,,,,,,,,,,,,,,,,,,
124,A027869,B000150,2020JJ00,,,,,,,,,,,,,,,,,,,,
125,A027869,B000150,2021JJ00,,,,,,,,,,,,,,,,,,,,
126,A027870,B000167,2013JJ00,7.7,2.0,9.3,88.7,7.6,2.9,12.1,85.0,7.5,5.8,14.8,79.4,7.9,3.6,9.5,86.9,7.8,3.4,12.1,84.5
127,A027870,B000167,2014JJ00,7.7,2.4,8.4,89.2,7.6,3.1,11.2,85.7,7.4,7.0,14.5,78.4,7.9,3.6,9.9,86.5,7.8,3.7,13.0,83.2
128,A027870,B000167,2015JJ00,7.7,2.6,9.4,88.0,7.6,3.4,11.7,85.0,7.4,7.5,15.1,77.4,7.9,4.2,10.9,84.9,7.8,3.9,11.4,84.7
129,A027870,B000167,2016JJ00,7.8,2.1,8.4,89.6,7.7,2.5,10.5,87.0,7.3,6.9,15.5,77.6,7.9,3.7,10.0,86.3,7.8,3.8,12.4,83.8
130,A027870,B000167,2017JJ00,7.8,2.5,8.5,89.0,7.6,3.1,10.2,86.7,7.3,7.1,14.7,78.2,7.8,4.4,11.1,84.5,7.8,3.8,12.8,83.4
131,A027870,B000167,2018JJ00,7.7,2.5,8.3,89.2,7.7,2.4,10.4,87.2,7.3,7.0,15.7,77.3,7.7,5.1,12.1,82.9,7.8,3.3,12.6,84.1
132,A027870,B000167,2019JJ00,7.7,2.5,7.9,89.6,7.7,2.3,8.9,88.8,7.3,7.0,15.4,77.6,7.8,4.6,11.1,84.3,7.8,3.2,11.6,85.2
133,A027870,B000167,2020JJ00,7.7,2.7,9.0,88.4,7.6,2.8,11.0,86.2,7.3,6.6,15.9,77.5,7.7,4.9,12.1,83.0,7.8,3.3,12.6,84.1
134,A027870,B000167,2021JJ00,7.7,2.6,9.9,87.5,7.6,2.9,12.8,84.3,7.4,6.3,15.9,77.8,7.6,5.8,13.0,81.2,7.9,3.1,10.7,86.1
135,A027870,B000150,2013JJ00,0.0,0.2,0.5,0.5,0.0,0.3,0.6,0.6,0.0,0.4,0.6,0.7,0.0,0.3,0.5,0.6,0.0,0.3,0.6,0.6
136,A027870,B000150,2014JJ00,0.0,0.3,0.5,0.5,0.0,0.3,0.5,0.6,0.0,0.4,0.6,0.7,0.0,0.3,0.5,0.6,0.0,0.3,0.6,0.6
137,A027870,B000150,2015JJ00,0.0,0.3,0.5,0.5,0.0,0.3,0.5,0.6,0.0,0.4,0.6,0.7,0.0,0.3,0.5,0.6,0.0,0.3,0.5,0.6
138,A027870,B000150,2016JJ00,0.0,0.2,0.5,0.5,0.0,0.3,0.5,0.6,0.0,0.4,0.6,0.7,0.0,0.3,0.5,0.6,0.0,0.3,0.6,0.6
139,A027870,B000150,2017JJ00,0.0,0.3,0.5,0.5,0.0,0.3,0.5,0.6,0.0,0.4,0.6,0.7,0.0,0.4,0.5,0.6,0.0,0.3,0.6,0.6
140,A027870,B000150,2018JJ00,0.0,0.3,0.5,0.5,0.0,0.3,0.5,0.6,0.0,0.4,0.6,0.7,0.0,0.4,0.5,0.6,0.0,0.3,0.6,0.6
141,A027870,B000150,2019JJ00,0.0,0.3,0.5,0.5,0.0,0.3,0.5,0.5,0.0,0.4,0.6,0.7,0.0,0.4,0.5,0.6,0.0,0.3,0.6,0.6
142,A027870,B000150,2020JJ00,0.0,0.3,0.5,0.6,0.0,0.3,0.5,0.6,0.0,0.4,0.6,0.7,0.0,0.4,0.6,0.6,0.0,0.3,0.6,0.6
143,A027870,B000150,2021JJ00,0.0,0.3,0.6,0.6,0.0,0.3,0.6,0.7,0.0,0.4,0.7,0.8,0.0,0.4,0.6,0.7,0.0,0.3,0.6,0.6
