ID,RegioS,InwonersVan15Tot65Jaar_1,InwonersTot18Jaar_2,TotaalParticuliereHuishoudens_3,TotaalMetThuiswonendeKinderen_4,MetThuiswondenKinderen0Tot18Jaar_5,Eenouderhuishoudens2OfMeerKinderen_6,Gemiddelde20182020_7,Eenpersoonshuishoudens31122020_8,Eenpersoonshuishoudens31122019_9,Eenpersoonshuishoudens31122018_10,Gemiddelde20182020_11,Meerpersoonshuishoudens31122020_12,Meerpersoonshuishoudens31122019_13,Meerpersoonshuishoudens31122018_14,HuishoudensMetInkomen_15,GemiddeldGestandaardiseerdInkomen_16,TotaalHuishoudensMetKinderen_17,GemiddeldGestandaardiseerdInkomen_18,TotaalMinderjarigeKinderen_19,InHuishoudensTot120SociaalMinimum_20,InHuishoudensMetLaagInkomen_21,TotaalBeroepsbevolking_22,LagerOpgeleidenGemiddelde20162020_23,LagerOpgeleidenPercentage_24,InwonersDoelpopulatie31122019_25,PersonenMetBijstand31122020_26,WajongUitkeringen31122020_27,PersonenMetLoonkostensubs31122020_28,PsychischMedicijngebruikOuders2020_29
10,GM0484,72410,22280,49090,17620,12450,1420,390,400,390,380,470,480,460,480,46900,26200,16800,27300,22400,2100,1900,60,9,15,9600,1960,1480,110,1250
11,GM1723,6410,1890,4300,1570,1040,80,20,20,20,20,30,30,30,30,4000,27500,1500,29400,1800,200,200,6,1,14,770,100,70,10,60
12,GM1959,35360,11870,22660,8920,6120,500,130,140,120,120,170,170,160,170,21400,26100,8500,27300,11900,700,700,29,7,23,4670,630,520,70,610
13,GM0060,2300,680,1770,510,340,20,0,0,0,0,0,0,0,0,1600,22400,500,23500,800,100,100,1,0,12,270,10,30,10,30
14,GM0307,105240,34130,69640,25310,18910,2130,890,890,880,890,980,950,960,1020,67500,26100,24500,27800,35100,3700,3400,87,10,11,14270,4060,1910,130,1740
15,GM0362,57010,18950,43000,14600,10960,1270,300,320,290,290,330,350,320,330,41800,28000,13200,32500,16700,1500,1300,47,4,9,10060,1310,650,50,600
16,GM0363,636840,145830,474880,113970,83430,15280,9510,9370,9320,9830,9600,9380,9330,10090,443500,23700,106300,25600,138200,34000,30500,497,46,9,126880,46650,8390,920,6040
17,GM0200,104210,31240,74300,24390,17390,2010,850,840,850,870,920,900,900,950,72600,24600,23200,25800,30700,3500,3200,84,13,15,17530,4200,3190,140,1510
18,GM0202,112200,29940,82260,22990,17310,2460,1670,1650,1670,1700,1780,1720,1750,1850,77300,21800,21500,23900,28400,5500,4800,83,11,13,23670,8770,3970,180,1710
19,GM0106,43780,13480,31690,10160,7490,960,430,410,420,460,500,490,490,520,31400,23000,10100,23700,14200,1900,1800,35,4,12,8280,2380,1620,120,780
20,GM0743,10530,3070,7220,2520,1640,130,30,30,30,40,50,50,50,60,7100,25200,2500,27700,3300,300,300,10,2,20,1320,220,150,20,100
21,GM0744,4080,1160,3040,980,660,70,10,10,10,10,20,20,20,20,3000,24400,900,27800,1000,100,100,4,1,20,600,110,60,10,50
22,GM0308,14870,4730,11170,3590,2620,280,70,70,70,80,90,90,90,90,11800,27800,3400,31200,4600,400,400,13,2,14,2590,420,770,10,210
23,GM0489,31280,10760,19330,8630,6060,690,140,150,140,140,180,180,180,190,18900,29000,8400,29800,11200,800,800,26,3,13,3880,640,390,30,430
24,GM0203,37190,15310,22680,9460,7030,500,130,150,130,130,170,180,160,170,20800,25300,8500,26200,13900,900,1000,30,7,23,4640,670,700,70,660
25,GM0888,9740,2430,7340,2300,1450,180,50,50,50,50,60,60,60,60,7400,25300,2400,27100,2700,300,300,7,1,16,1450,310,180,10,110
26,GM1954,21880,5730,16240,5340,3390,360,100,90,100,110,130,120,120,140,16300,25200,5400,26700,5900,600,500,19,4,20,3310,560,460,40,270
27,GM0370,6300,2090,4060,1670,1140,110,20,20,20,20,20,30,20,30,3800,28500,1400,32100,1700,100,100,5,1,16,810,90,210,0,60
28,GM0889,8330,2300,5950,2060,1340,150,50,50,60,50,50,60,60,50,5800,23800,2100,24900,2500,200,200,8,2,21,1210,240,190,20,110
29,GM1945,21510,5820,15860,5110,3410,350,160,150,150,160,180,180,190,190,15800,24200,5000,26200,6100,500,500,18,4,20,3610,900,690,20,290
30,GM1724,11800,3310,7970,2840,1810,190,30,20,30,30,40,40,40,30,7600,26400,2800,27800,3600,300,300,9,2,16,1440,170,170,30,140
31,GM0893,8240,2110,5680,1990,1170,120,40,30,40,40,50,40,50,50,5600,23800,2000,25000,2400,200,200,7,1,20,1160,190,170,20,100
32,GM0373,16460,4520,13880,4070,2560,350,60,60,60,50,70,70,70,80,14300,29100,4000,30800,4900,400,400,13,1,11,2910,340,460,20,150
33,GM0748,42620,12300,30580,9960,6950,870,430,430,420,430,510,520,510,510,30600,24400,9700,25700,12100,1900,1700,32,6,18,8010,2300,1020,50,650
34,GM1859,26700,7700,18970,6390,4230,390,120,120,120,140,140,140,130,150,19000,24100,6500,25400,8600,700,600,23,5,23,3440,670,630,110,280
35,GM1721,19830,6110,12790,5020,3350,310,60,60,70,60,80,80,80,90,11900,26300,4700,28100,6400,500,400,17,3,19,2310,320,320,60,220
36,GM0753,19800,5730,13040,4880,3290,370,110,100,110,110,120,110,130,120,12000,27400,4700,28700,6000,400,400,16,2,14,2640,500,240,50,280
37,GM0209,16910,4840,11340,4200,2830,290,100,90,100,100,110,100,110,110,10700,26000,4200,27400,5000,500,400,14,2,16,2090,440,260,30,270
38,GM0375,27480,8030,19200,6710,4690,610,250,240,240,250,280,280,280,280,18700,23800,6300,24700,7900,1100,1000,23,5,23,4270,1040,620,30,420
39,GM0310,25540,9090,19340,6650,4910,490,130,130,120,140,170,170,160,180,19500,30900,6100,34000,8600,800,700,20,2,10,3460,680,400,30,420
40,GM1728,13000,3800,8710,3080,2050,190,30,30,30,30,40,40,40,40,8400,25600,3000,27200,3900,300,300,12,2,17,1470,170,220,30,180
41,GM0376,6770,2740,5070,1920,1480,130,20,20,20,20,30,30,30,30,4200,38600,1300,42500,1800,200,200,5,1,16,1040,130,50,10,100
42,GM0377,13040,5160,9820,3600,2680,230,30,30,30,30,50,50,40,40,9900,40200,3300,46100,4800,300,300,10,1,6,2100,240,190,0,140
43,GM1901,21900,7540,14560,5570,3970,380,70,80,70,60,110,110,110,110,13500,29000,5200,29400,7300,600,600,18,3,14,2590,390,320,30,300
44,GM0755,7110,2190,4300,1740,1150,120,20,20,20,20,20,20,20,20,4100,24400,1600,26400,2200,200,200,7,1,20,750,120,150,20,80
45,GM1681,15660,4340,11260,3620,2410,220,100,100,100,100,120,110,120,130,11100,23700,3600,24600,4700,500,500,13,2,19,2700,570,430,30,170
46,GM0147,14320,4970,9850,3770,2740,230,60,60,60,60,80,70,80,90,9300,25800,3500,26800,4600,400,300,13,2,13,1890,350,360,40,190
47,GM0654,14210,4650,9580,3410,2370,220,50,50,50,50,60,50,70,60,9500,25400,3400,26400,5000,400,400,13,2,19,1850,230,270,30,220
48,GM0756,18590,5130,12710,4290,2750,290,60,70,60,60,80,70,80,80,12100,25700,4300,27300,5400,400,400,17,3,17,2540,350,360,80,210
49,GM0757,20590,6180,14550,4910,3410,390,120,120,120,120,130,130,130,140,14300,25200,4800,26500,6400,700,600,18,3,17,3080,510,420,110,320
50,GM0758,121400,34230,88450,26540,19250,2430,1020,1000,990,1070,1160,1130,1120,1230,87400,24700,25500,27900,33900,4300,4000,101,13,13,18620,5220,2130,190,1590
51,GM0501,11020,3010,7860,2680,1810,210,50,60,50,50,60,70,60,60,7500,27800,2500,28900,2900,300,300,8,1,15,1570,240,190,10,130
52,GM1876,21800,6080,15550,5250,3340,300,60,60,60,60,90,80,80,100,15700,25500,5400,26400,7000,500,500,20,4,18,2790,370,430,50,230
53,GM0213,12670,3480,9100,3060,2000,200,60,60,60,80,80,70,80,90,9300,25400,3100,26200,3900,300,300,9,2,20,1860,340,340,40,200
54,GM0899,17140,4250,13600,3940,2580,360,200,190,210,210,200,190,200,220,13900,21800,4200,22600,4600,900,800,14,3,23,3450,870,600,50,270
55,GM0312,9130,3370,6510,2420,1780,140,20,20,20,20,30,30,30,30,6300,30000,2200,31800,3100,100,100,10,1,9,940,150,120,10,140
56,GM0313,14130,5090,8470,3700,2650,180,40,40,30,40,50,50,50,50,7900,25800,3500,27400,4900,300,300,10,3,25,1470,220,220,20,250
57,GM0214,17220,5130,11240,4270,2850,260,50,50,50,50,70,70,70,70,10600,27200,4100,28100,5400,400,400,14,3,21,2270,250,210,10,210
58,GM0502,42580,12930,31570,10690,7310,1460,670,660,640,720,650,620,610,720,30900,25000,10600,25500,12400,2300,2100,35,6,19,7500,2120,770,60,550
59,GM0383,21750,6550,15890,5450,3670,380,60,60,60,70,90,90,90,90,15400,28900,5100,30600,6500,400,400,20,3,13,2620,400,380,40,240
60,GM0109,21470,6320,15560,5140,3480,370,170,170,160,180,220,220,210,230,15600,23700,5200,24200,6800,900,900,17,3,19,3780,900,480,40,300
61,GM1706,12970,3640,8870,3010,1950,200,50,40,50,60,80,60,80,90,8800,25500,3100,26900,3700,400,300,11,2,20,2240,280,180,20,160
62,GM1684,16240,4530,11240,3840,2570,300,110,110,110,110,110,110,110,120,10700,24200,3800,25200,4900,500,400,14,2,17,2280,440,370,50,210
63,GM0216,18820,5940,12750,4680,3340,350,100,100,100,110,140,140,150,150,11900,25400,4500,26600,6000,600,600,16,2,14,2760,630,320,40,310
64,GM0148,17850,6020,11790,4510,3170,220,40,40,40,40,70,70,70,80,11200,25200,4300,26300,6100,400,400,15,2,14,1980,310,310,30,250
65,GM1891,11500,3780,7850,2920,1950,160,90,80,90,100,100,90,90,100,8000,21700,3000,22800,4000,500,500,9,2,23,2260,520,370,70,200
66,GM0503,74030,15260,58540,12340,8750,1340,820,800,810,830,790,780,780,820,53200,20700,11700,26000,14400,2600,2300,55,5,10,13230,3430,1240,120,810
67,GM0762,20300,6050,13830,4860,3160,350,80,70,80,90,100,100,100,110,13600,24300,4800,25800,6000,600,500,18,4,20,2830,440,540,70,200
68,GM0150,66630,19660,46890,15290,11180,1350,690,680,670,710,720,690,720,740,44900,23300,14900,24600,20100,2700,2400,52,9,16,11310,3240,1960,170,1220
69,GM0384,21870,5440,15900,4570,3250,480,130,130,120,120,140,140,140,140,13200,23300,3800,27100,4500,700,600,16,1,8,3150,560,240,10,170
70,GM1774,16720,5070,10450,4230,2670,230,40,40,30,40,60,60,60,60,10200,25600,4100,27800,5500,300,300,12,2,14,1720,240,300,40,120
71,GM0221,6710,1730,5250,1630,1050,150,60,60,60,70,70,60,60,70,5200,23100,1700,23200,2100,400,300,6,1,21,1290,320,230,20,130
72,GM0222,37040,10960,26110,8680,6160,710,280,280,270,270,320,310,320,320,25700,23700,8500,24700,11000,1200,1100,28,5,17,6240,1450,1480,140,580
73,GM0766,16700,4850,11310,4120,2800,280,70,70,60,70,80,90,80,80,11000,25200,3900,26700,5000,400,400,15,3,19,2110,400,270,30,230
74,GM0505,77560,22320,55140,18290,12640,1850,1050,1030,1050,1080,1050,1010,1040,1110,55600,23600,18000,24600,22500,3600,3200,62,9,14,14670,4410,1590,350,1370
75,GM0498,12350,3940,8270,3130,2150,230,50,50,50,50,70,70,70,70,8100,26100,2900,27600,4000,300,300,12,3,22,1490,200,280,20,130
76,GM1719,17160,4670,11710,4140,2690,280,40,40,40,50,50,50,50,60,11500,26200,4000,27900,5000,300,300,13,2,15,2190,220,390,30,210
77,GM0303,27460,8550,17840,6450,4570,550,150,150,140,150,180,180,170,190,17000,24200,6100,25300,8700,1000,1000,22,3,12,4160,750,600,50,430
78,GM0225,12320,3540,7970,3010,2050,200,70,70,70,70,80,90,80,80,7800,24300,2900,26500,3800,400,400,10,2,17,1790,340,440,20,190
79,GM0226,16450,4600,10730,4150,2690,280,100,100,100,100,110,110,110,120,10600,25400,4400,26100,5500,500,400,14,2,11,2180,520,330,30,250
80,GM1711,19550,4800,14260,4550,2830,310,90,80,90,100,120,120,120,120,14700,24300,4600,26200,5000,600,500,17,2,13,3330,550,610,30,240
81,GM0385,22920,7020,15000,5960,3940,360,60,60,60,60,100,100,100,100,14600,27700,5800,30300,7500,400,400,20,5,24,2520,360,280,20,230
82,GM0228,75240,25660,50050,17730,12960,1110,360,350,360,390,500,480,470,530,47700,24500,16200,26100,24300,2400,2300,61,11,17,10870,2190,1890,140,1240
83,GM0317,5900,1860,4020,1530,1050,130,20,20,20,20,20,20,20,30,3700,28700,1500,29000,1900,200,200,5,1,11,710,110,100,10,90
84,GM1979,27740,7910,21440,6410,4380,650,400,380,400,430,440,420,430,460,22200,22200,6800,22800,8500,1500,1300,22,4,19,6100,1750,960,100,410
85,GM0770,12200,3550,8190,2880,1880,160,20,20,20,20,50,50,50,50,7900,27400,2700,29300,3400,300,300,10,2,24,1660,160,410,20,140
86,GM1903,15640,4520,11230,3910,2570,190,40,40,40,30,60,60,60,60,10700,26900,3800,28800,4400,300,300,14,2,13,1970,300,210,10,180
87,GM0772,163250,39700,121630,31920,23170,3160,1660,1650,1650,1660,1700,1670,1680,1760,112900,23000,29600,25300,38200,6300,5600,126,15,12,28160,7800,2880,470,1910
88,GM0230,14530,5160,9340,3700,2630,230,70,70,60,70,80,80,70,80,9200,24000,3600,24400,5300,400,400,12,2,20,2030,290,350,30,330
89,GM0114,66650,18990,48550,15980,10770,1450,850,810,830,900,890,870,880,930,48800,22000,16100,22800,20200,3300,3000,51,11,22,13560,4040,2070,270,970
90,GM0388,11600,3540,8660,2770,1980,280,100,100,100,110,110,90,110,120,8500,23700,2700,24500,3500,400,400,11,2,17,1810,360,390,30,160
91,GM0153,107890,28310,79600,22390,16090,2310,1480,1420,1450,1560,1650,1560,1620,1760,77000,20400,22200,22600,28900,5900,5200,79,12,16,22400,7530,3780,280,1380
92,GM0232,19840,5960,14290,4870,3240,280,100,100,100,110,130,120,130,130,14100,25600,4700,26100,6000,600,500,16,3,20,3140,500,470,40,270
93,GM0233,16530,5150,11280,3800,2550,250,70,80,70,60,90,100,90,90,11800,25400,3600,27500,4900,400,400,13,2,16,2850,450,820,50,250
94,GM0777,27460,8770,18930,7020,4990,580,180,180,180,180,220,220,220,220,18400,25400,6700,26700,8600,900,800,23,4,19,3950,870,470,40,430
95,GM1940,31430,10010,22330,7640,5300,500,180,170,170,180,210,190,210,230,22100,24300,7600,25200,10800,1000,900,27,4,14,4410,880,580,60,390
96,GM0779,13770,4080,9510,3460,2370,270,70,70,70,70,80,80,70,70,9500,25000,3400,26200,4300,400,300,12,2,19,1790,360,220,40,240
97,GM1771,25080,7490,17950,6230,4280,510,200,200,200,210,210,190,210,230,17300,25600,6000,26600,7600,900,900,20,3,16,3690,780,400,70,410
98,GM1652,19580,5960,13100,4810,3230,330,80,80,80,80,110,110,110,110,12500,24600,4600,26200,5900,500,500,18,3,17,2580,480,380,60,240
99,GM0907,10470,2960,7320,2460,1630,190,50,40,50,60,60,50,50,70,7900,23400,2500,24900,3300,300,300,9,1,14,1770,290,570,20,140
100,GM0784,16810,5150,11240,4090,2780,340,120,110,130,130,140,130,140,150,11100,25000,4000,26300,5100,600,500,14,2,16,2320,460,230,20,240
101,GM1924,31390,9850,21440,7400,5240,440,120,130,120,110,170,170,170,160,20900,25600,7100,27100,9900,700,700,25,5,21,4570,620,690,50,610
102,GM0664,23820,6890,18000,5410,3810,440,150,160,140,140,160,170,150,160,17800,24600,5100,26500,6700,700,600,18,2,13,3780,900,700,40,360
103,GM0785,14340,4810,10240,3720,2660,250,70,60,70,70,70,70,70,80,10000,26600,3500,27400,4600,400,400,12,1,12,1740,340,240,50,210
104,GM1942,35290,13340,26220,9370,7190,730,140,150,130,140,190,190,190,190,25800,32200,8600,37600,12900,1000,1000,29,3,9,4970,1040,450,20,510
105,GM0512,24490,7290,16930,5850,4090,490,220,220,220,210,250,250,240,260,16100,24500,5400,26100,7200,1000,900,19,3,17,3910,1030,530,70,450
106,GM0513,47500,14420,33740,10860,7830,950,410,420,400,420,490,490,470,510,32400,24700,10700,25900,14800,1900,1800,38,6,15,7600,2060,1040,80,690
107,GM0786,7840,2210,5310,1800,1210,130,40,40,40,40,50,50,50,50,5400,24600,1800,25700,2400,200,200,7,1,16,1190,170,170,20,120
108,GM0518,375610,109020,269600,82690,61030,9690,6070,5960,5960,6310,6370,6130,6250,6730,251300,23400,75300,24700,98700,22500,20800,272,38,14,86120,28300,6200,1070,5100
109,GM0014,169740,34280,136510,25570,19690,2810,2080,2010,2090,2140,2160,2090,2160,2240,128100,19400,24900,24700,33400,6100,5200,125,8,7,31390,11880,4250,330,1660
110,GM1729,8480,1960,6590,1920,1150,90,30,30,30,30,40,40,40,40,6700,25100,2000,27200,2100,200,200,7,1,21,1300,200,170,20,70
111,GM0158,14700,4450,10250,3690,2470,240,70,60,70,60,90,90,90,90,10200,24400,3700,26400,4900,400,400,12,2,14,1920,370,320,40,120
112,GM0392,107190,32320,78200,24820,18600,2180,780,800,780,780,920,910,920,930,77000,25300,22800,28000,30200,3800,3500,89,11,12,16120,4110,1890,80,1600
113,GM0394,104060,33090,66660,27570,19190,2340,560,590,530,560,680,710,640,680,63100,27500,25600,29000,32900,2700,2400,85,12,14,12830,2450,1390,60,1350
114,GM1655,18750,5340,13140,4570,3030,340,120,120,120,120,140,140,140,130,12900,25400,4400,26700,5300,600,500,15,3,20,2860,530,310,20,230
115,GM0160,39190,12960,24620,9630,6670,600,170,170,160,160,210,210,210,220,23900,23200,9300,24200,13400,1100,1100,32,6,20,5510,1020,1180,120,530
116,GM0243,31040,10330,20780,7740,5630,600,210,220,200,210,260,260,250,260,19600,24600,7200,25000,10100,1100,1000,25,3,14,4730,1060,720,70,600
117,GM0523,11390,4310,7190,2950,2090,140,40,40,40,40,60,60,60,60,7000,25500,2800,27000,4200,200,200,11,2,17,1460,190,180,20,200
118,GM0072,9420,2910,7570,2210,1580,210,120,110,120,120,120,120,120,120,7500,21700,2200,22200,2900,500,400,9,2,18,1810,590,200,20,170
119,GM0244,7370,2610,5090,1880,1360,110,20,10,20,20,30,30,30,30,5000,26200,1800,26900,2500,200,200,7,1,15,920,130,120,10,130
120,GM0396,24620,7060,17360,6170,4060,580,240,240,230,240,260,270,250,280,17700,25500,6000,26800,7300,900,800,22,4,16,3680,940,540,20,320
121,GM0397,15150,5970,12150,4270,3190,320,50,50,50,50,60,60,60,60,12300,34100,3900,39000,5600,300,300,15,1,10,2320,320,360,10,200
122,GM0246,11320,3690,7760,2770,1930,160,40,40,40,40,60,70,50,60,7800,25300,2700,26000,3700,300,300,10,2,19,1520,220,190,30,160
123,GM0074,31490,9830,22960,7630,5420,650,280,290,280,290,300,300,290,320,22900,23600,7400,24900,10200,1100,1000,26,6,21,5160,1560,880,90,440
124,GM0398,37360,12660,24170,9670,6980,830,220,220,220,220,250,240,240,260,22700,24500,8700,24900,12000,1200,1100,29,5,17,5520,920,1200,140,620
125,GM0917,55400,13530,45300,11930,8100,1450,970,970,950,1000,1000,1000,970,1040,45800,21300,12100,22000,13200,3500,3000,41,9,23,13410,4590,2150,120,910
126,GM1658,9910,2830,6860,2390,1520,140,20,20,20,20,20,20,20,30,6700,28300,2300,30100,2900,200,200,7,1,15,1260,120,260,20,100
127,GM0399,14200,4490,10870,3580,2520,250,40,40,40,40,50,50,50,60,10300,28700,3300,30800,4400,300,200,11,1,11,1850,290,310,20,170
128,GM0400,35330,9830,27240,8040,5620,890,450,440,440,460,420,410,410,440,27600,22600,8200,23100,9800,1800,1600,28,6,21,7320,1810,1580,60,450
129,GM0163,22170,7110,14770,5610,3870,320,90,90,90,90,110,110,110,130,14800,23800,5400,25000,7400,600,600,19,3,18,2770,510,510,50,320
130,GM0530,25300,7540,18130,6380,4410,620,220,210,210,230,240,240,230,250,18000,26300,6300,26600,7500,900,800,20,3,16,4250,910,480,30,390
131,GM0794,61440,18370,41420,15060,10510,1340,600,590,610,610,690,660,680,730,39500,23400,14500,24300,19200,3000,2800,46,9,20,10570,2900,1160,260,980
132,GM0531,19470,7690,12190,5440,4090,350,110,110,110,110,130,130,120,130,11700,27100,4900,27600,7000,500,400,15,2,16,2260,420,210,30,360
133,GM0164,52720,14810,38220,12030,8450,980,440,430,440,440,530,510,530,540,37400,23200,12200,24200,16200,2300,2100,42,5,13,9040,2680,1700,160,670
134,GM0796,103270,28340,73800,22590,16080,1980,780,750,770,820,790,740,760,860,71300,25300,22300,27400,28800,3700,3400,85,11,13,15770,3940,2280,510,1590
135,GM0252,10100,3030,7220,2510,1690,160,60,60,60,50,60,70,60,60,7100,27900,2600,29400,3400,300,200,8,1,12,1360,280,230,10,130
136,GM0797,28680,8410,19330,7040,4730,460,120,120,110,120,130,120,130,140,18300,25900,6900,27600,8600,800,700,24,4,17,3770,580,440,60,390
137,GM0534,14070,4200,9890,3450,2450,280,60,50,60,50,70,70,70,70,9600,25700,3200,27600,4100,400,300,10,1,11,1740,320,240,20,210
138,GM0798,9810,2870,6670,2330,1570,120,20,20,20,20,40,30,40,40,6300,27200,2300,28900,3000,200,200,10,1,13,1000,150,170,20,110
139,GM0402,58590,18670,43010,14060,10640,1170,460,470,460,440,510,520,510,500,42300,26600,12700,30000,17000,2000,1900,46,5,12,9500,2470,950,90,830
140,GM1963,54360,16880,37570,13590,9360,860,160,170,160,160,240,250,230,230,36300,27500,13100,28600,16900,1100,1100,46,7,16,7130,1020,890,80,840
141,GM1735,21150,6300,15000,5220,3420,270,80,70,80,80,110,100,110,130,14800,25700,5100,26900,6900,500,500,19,3,14,2580,490,410,50,220
142,GM1966,29080,9040,21640,6930,4890,570,230,210,240,240,270,250,270,270,21800,22800,7200,23700,9800,1200,1100,24,4,16,5140,1200,1010,60,460
143,GM1911,31040,9070,21250,7380,5030,530,140,150,140,140,180,180,170,180,20300,24800,7300,26100,9800,900,900,26,5,20,3970,590,590,50,360
144,GM0118,34300,11030,24410,8340,5890,700,320,330,320,330,340,340,330,360,24300,22200,8300,22500,11400,1500,1400,28,6,22,6090,1510,1100,110,510
145,GM0405,46920,14560,33430,11960,8390,1210,410,410,400,420,430,440,410,450,32700,24500,11500,25100,14900,2100,1800,39,6,15,7290,1820,1440,100,740
146,GM1507,27140,7400,18240,6340,4040,360,70,80,70,80,110,110,110,120,17500,25300,6500,27000,8200,600,600,24,4,15,2920,420,460,50,260
147,GM0321,32940,11590,20480,8640,6380,640,140,140,140,150,190,180,190,200,19600,29200,8500,30400,11900,700,600,29,4,12,3820,640,520,30,580
148,GM0406,24980,7720,18530,6260,4380,550,160,150,160,170,200,190,200,210,18600,27800,6400,29100,8100,800,700,22,3,13,3810,850,440,50,340
149,GM0677,16980,4470,12740,3830,2610,250,50,60,50,50,80,80,80,80,12700,24800,3800,27000,4300,400,300,14,2,18,3370,350,500,30,170
150,GM0353,22160,7000,14380,5780,4020,540,140,140,140,140,170,170,170,180,14300,27400,5800,28400,7800,800,700,19,2,12,2630,590,330,20,360
151,GM1884,17490,5160,11820,4330,2900,300,50,60,50,50,70,80,70,80,10800,27800,4100,29200,5200,400,400,16,3,19,2000,340,230,20,230
152,GM0166,34670,12590,22350,8630,6420,560,190,200,180,190,220,220,210,230,21200,22800,8000,23800,12300,1100,1100,28,5,18,4850,1040,1030,90,570
153,GM0678,7870,2770,5350,2000,1460,140,30,30,30,20,40,30,40,30,5200,26200,2000,26700,2800,200,200,8,1,16,910,100,100,10,130
154,GM0537,41950,14510,26820,10640,7530,670,240,240,240,240,280,270,270,280,25800,25200,10300,26800,14200,1100,1000,35,7,22,5710,1010,770,60,690
155,GM0928,27990,6740,22930,6220,4140,580,380,370,380,390,390,370,390,410,23400,21100,6500,22000,6500,1600,1400,22,4,19,6950,1810,1110,50,390
156,GM1598,14580,4500,9410,3660,2410,260,30,40,30,30,60,60,50,60,9300,26000,3500,27800,4900,400,300,12,2,14,1550,230,260,30,120
157,GM0542,17220,6170,12420,4690,3240,450,160,170,160,170,170,170,160,170,12300,26400,4400,27300,5900,500,500,16,3,15,2760,590,280,40,280
158,GM1931,35160,11550,23860,8620,6050,580,150,160,150,140,210,210,200,220,23000,26600,8200,28000,11300,900,900,29,5,17,4630,820,590,20,530
159,GM1659,14280,4190,9670,3530,2330,230,50,50,50,60,70,60,70,80,9200,25300,3400,26600,4400,400,400,11,2,19,1740,250,250,30,170
160,GM1685,9850,2980,6470,2460,1580,160,30,30,30,30,50,40,50,50,6100,25300,2400,27900,3100,200,200,7,2,26,1220,160,190,20,140
161,GM0882,22970,5800,17680,5370,3500,460,260,270,250,270,270,270,260,290,18000,22800,5500,24100,5800,1000,900,18,4,22,4660,1230,900,40,360
162,GM0415,7020,2400,4890,2020,1380,170,30,30,30,20,40,40,40,40,4700,29700,1800,31500,2100,200,100,7,0,6,860,160,70,0,80
163,GM0416,17720,5700,11820,4580,3160,360,80,70,80,90,100,90,100,110,11300,26400,4400,27100,5900,600,500,16,2,11,2240,330,350,50,260
164,GM1621,40270,15920,24360,11710,8840,870,160,170,160,150,230,230,230,230,22500,30000,10500,31000,14900,1000,900,34,4,12,4290,790,360,30,650
