ID,Warmtepompen,Sector,Perioden,InGebruikGenomenWarmtepompen_1,UitGebruikGenomenWarmtepompen_2,OpgesteldeWarmtepompenEindeVanJaar_3,InGebruikGenomenThermischVermogen_4,UitGebruikGenomenThermischVermogen_5,OpgesteldThermischVermogenEindeJaar_6,BrutoWarmteproductieWarmtepompen_7,VerbruikVanElektriciteitEnAardgas_8,BrutoEindverbruik_9,VermedenVerbruikVanFossieleEnergie_10,VermedenEmissieKooldioxideCO2_11
0,T001364 ,E007041 ,1994JJ00,,,1743.0,,,16.0,69.0,34.0,35.0,23.0,1.0
1,T001364 ,E007041 ,1995JJ00,67.0,0.0,1810.0,1.0,0.0,17.0,73.0,35.0,38.0,24.0,1.0
2,T001364 ,E007041 ,1996JJ00,146.0,0.0,1956.0,2.0,0.0,19.0,81.0,37.0,43.0,28.0,1.0
3,T001364 ,E007041 ,1997JJ00,1408.0,0.0,3364.0,8.0,0.0,27.0,115.0,47.0,68.0,40.0,1.0
4,T001364 ,E007041 ,1998JJ00,1669.0,0.0,5033.0,14.0,0.0,41.0,173.0,64.0,109.0,61.0,2.0
5,T001364 ,E007041 ,1999JJ00,880.0,0.0,5913.0,10.0,0.0,51.0,214.0,77.0,138.0,75.0,3.0
6,T001364 ,E007041 ,2000JJ00,938.0,0.0,6851.0,14.0,0.0,65.0,270.0,92.0,178.0,94.0,3.0
7,T001364 ,E007041 ,2001JJ00,1478.0,0.0,8329.0,12.0,0.0,78.0,322.0,107.0,215.0,108.0,3.0
8,T001364 ,E007041 ,2002JJ00,3906.0,0.0,12235.0,24.0,0.0,102.0,426.0,138.0,288.0,140.0,4.0
9,T001364 ,E007041 ,2003JJ00,3973.0,0.0,16208.0,28.0,0.0,129.0,544.0,173.0,371.0,177.0,5.0
10,T001364 ,E007041 ,2004JJ00,3849.0,0.0,20056.0,53.0,0.0,182.0,760.0,235.0,525.0,257.0,8.0
11,T001364 ,E007041 ,2005JJ00,3993.0,349.0,23701.0,67.0,3.0,246.0,1015.0,307.0,708.0,351.0,12.0
12,T001364 ,E007041 ,2006JJ00,5494.0,349.0,28847.0,81.0,3.0,323.0,1326.0,397.0,930.0,476.0,15.0
13,T001364 ,E007041 ,2007JJ00,5278.0,349.0,33776.0,109.0,3.0,428.0,1753.0,506.0,1247.0,664.0,24.0
14,T001364 ,E007041 ,2008JJ00,7355.0,349.0,40782.0,146.0,3.0,571.0,2369.0,686.0,1683.0,865.0,30.0
15,T001364 ,E007041 ,2009JJ00,16724.0,349.0,57158.0,326.0,3.0,894.0,3092.0,901.0,2192.0,1137.0,40.0
16,T001364 ,E007041 ,2010JJ00,17953.0,67.0,75044.0,355.0,1.0,1248.0,3869.0,1150.0,2719.0,1445.0,54.0
17,T001364 ,E007041 ,2011JJ00,44372.0,146.0,119270.0,426.0,2.0,1673.0,4704.0,1429.0,3275.0,1797.0,68.0
18,T001364 ,E007041 ,2012JJ00,42745.0,1408.0,160608.0,387.0,8.0,2052.0,5508.0,1696.0,3813.0,1932.0,55.0
19,T001364 ,E007041 ,2013JJ00,40538.0,1669.0,199477.0,384.0,14.0,2422.0,6355.0,1979.0,4377.0,2224.0,52.0
20,T001364 ,E007041 ,2014JJ00,46538.0,880.0,245134.0,429.0,10.0,2841.0,7298.0,2302.0,4996.0,2362.0,45.0
21,T001364 ,E007041 ,2015JJ00,51262.0,938.0,295459.0,445.0,14.0,3272.0,8314.0,2660.0,5653.0,2577.0,17.0
22,T001364 ,E007041 ,2016JJ00,73862.0,1478.0,367843.0,559.0,12.0,3819.0,9633.0,3142.0,6491.0,3071.0,49.0
